Quarter,Time,Tm,Detail,PIT,CLE
2.0,11:16,Steelers,James Conner 4 yard rush (Chris Boswell kick),7,0
3.0,10:05,Browns,Tyrod Taylor 20 yard rush (Zane Gonzalez kick),7,7
,8:24,Steelers,Antonio Brown 22 yard pass from Ben Roethlisberger (Chris Boswell kick),14,7
,5:23,Steelers,James Conner 22 yard rush (Chris Boswell kick),21,7
4.0,7:32,Browns,Carlos Hyde 1 yard rush (Zane Gonzalez kick),21,14
,1:58,Browns,Josh Gordon 17 yard pass from Tyrod Taylor (Zane Gonzalez kick),21,21
