Unnamed: 0,PIT,CLE
First Downs,25,22
Rush-Yds-TDs,35-159-2,38-177-2
Cmp-Att-Yd-TD-INT,23-41-335-1-3,15-40-197-1-1
Sacked-Yards,4-22,7-47
Net Pass Yards,313,150
Total Yards,472,327
Fumbles-Lost,3-3,1-0
Turnovers,6,1
Penalties-Yards,12-116,11-87
Third Down Conv.,7-15,5-18
Fourth Down Conv.,0-0,0-1
Time of Possession,35:12,34:48
