Quarter,Time,Tm,Detail,NOR,TAM
1.0,8:33,Saints,Marques Colston 3 yard pass from Drew Brees (Kai Forbath kick),7,0
2.0,11:57,Saints,Marques Colston 1 yard pass from Drew Brees (Kai Forbath kick),14,0
,8:04,Buccaneers,Doug Martin 14 yard rush (Connor Barth kick),14,7
,1:02,Saints,Kai Forbath 23 yard field goal,17,7
,0:03,Buccaneers,Connor Barth 39 yard field goal,17,10
3.0,0:53,Saints,Tim Hightower 3 yard rush (Kai Forbath kick),24,10
4.0,8:56,Buccaneers,Adam Humphries 6 yard pass from Jameis Winston (Connor Barth kick),24,17
