Unnamed: 0,IND,TEN
First Downs,23,12
Rush-Yds-TDs,23-58-1,21-90-0
Cmp-Att-Yd-TD-INT,36-44-309-3-1,19-35-164-0-1
Sacked-Yards,0-0,1-9
Net Pass Yards,309,155
Total Yards,367,245
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,7-48,9-89
Third Down Conv.,8-14,5-14
Fourth Down Conv.,1-1,0-1
Time of Possession,33:38,26:22
