Unnamed: 0,DAL,WAS
First Downs,16,17
Rush-Yds-TDs,23-95-1,28-100-1
Cmp-Att-Yd-TD-INT,17-27-226-2-1,21-36-197-1-1
Sacked-Yards,2-12,0-0
Net Pass Yards,214,197
Total Yards,309,297
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,6-42,8-44
Third Down Conv.,4-10,7-16
Fourth Down Conv.,2-2,0-1
Time of Possession,26:13,33:47
