Unnamed: 0,TEN,KAN
First Downs,16,23
Rush-Yds-TDs,16-57-0,40-152-0
Cmp-Att-Yd-TD-INT,14-37-235-2-2,25-36-312-3-1
Sacked-Yards,3-22,1-6
Net Pass Yards,213,306
Total Yards,270,458
Fumbles-Lost,1-0,3-1
Turnovers,2,2
Penalties-Yards,9-74,7-84
Third Down Conv.,3-12,9-18
Fourth Down Conv.,0-1,0-0
Time of Possession,20:56,39:04
