Quarter,Time,Tm,Detail,TEN,KAN
1.0,11:19,Chiefs,Jamaal Charles 14 yard pass from Matt Cassel (Ryan Succop kick),0,7
,1:52,Chiefs,Jamaal Charles 5 yard pass from Matt Cassel (Ryan Succop kick),0,14
2.0,11:31,Chiefs,Ryan Succop 35 yard field goal,0,17
,7:19,Chiefs,Dwayne Bowe 75 yard pass from Matt Cassel (Ryan Succop kick),0,24
,4:15,Titans,Kenny Britt 53 yard pass from Kerry Collins (Rob Bironas kick),7,24
,0:22,Chiefs,Eric Berry 54 yard interception return (Ryan Succop kick),7,31
3.0,5:43,Chiefs,Ryan Succop 42 yard field goal,7,34
,3:35,Titans,Jared Cook 22 yard pass from Kerry Collins (Rob Bironas kick),14,34
