Unnamed: 0,MIA,BUF
First Downs,16,24
Rush-Yds-TDs,23-68-1,23-102-1
Cmp-Att-Yd-TD-INT,21-39-205-0-1,29-43-249-2-0
Sacked-Yards,2-11,0-0
Net Pass Yards,194,249
Total Yards,262,351
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,9-58,9-80
Third Down Conv.,4-14,6-13
Fourth Down Conv.,1-1,0-1
Time of Possession,29:13,30:47
