Quarter,Time,Tm,Detail,TAM,CHI
2.0,3:22,Buccaneers,Martin Gramatica 30 yard field goal,3,0
,0:02,Buccaneers,Martin Gramatica 32 yard field goal,6,0
4.0,13:12,Buccaneers,Martin Gramatica 33 yard field goal,9,0
,7:01,Buccaneers,Martin Gramatica 26 yard field goal,12,0
,3:09,Buccaneers,Martin Gramatica 33 yard field goal,15,0
