Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Paul Edinger kicks off 66 yards, returned by Aaron Stecker for 29 yards (tackle by Michael Green)",0.000,1.140
1,14:55,1,10,TAM 33,0,0,Michael Pittman left guard for 16 yards (tackle by Mike Brown and Michael Green),1.140,2.190
1,14:22,1,10,TAM 49,0,0,Michael Pittman left guard for 1 yard (tackle by Phillip Daniels),2.190,1.780
1,13:40,1,10,TAM 49,,,Timeout #1 by Tampa Bay Buccaneers,2.190,1.780
1,13:40,2,9,,0,0,Rob Johnson sacked by Alfonso Boone for -4 yards,1.780,0.560
1,13:09,3,13,TAM 46,0,0,Rob Johnson pass complete to Joe Jurevicius for 9 yards (tackle by Mike Brown),0.560,0.270
1,12:25,4,4,CHI 45,0,0,"Tom Tupa punts 36 yards, fair catch by Ahmad Merritt",0.270,0.380
1,12:17,1,10,CHI 9,0,0,Leon Johnson left guard for 6 yards (tackle by Dexter Jackson),-0.380,-0.280
1,11:38,2,4,CHI 15,0,0,Leon Johnson left tackle for no gain (tackle by Warren Sapp),-0.280,-0.720
1,11:03,3,4,CHI 15,0,0,Leon Johnson left guard for 1 yard (tackle by Shelton Quarles),-0.720,-2.390
1,10:28,4,3,CHI 16,0,0,"Brad Maynard punts 47 yards, out of bounds",-2.390,-1.400
1,10:22,1,10,TAM 37,0,0,Michael Pittman right tackle for no gain (tackle by Brian Urlacher),1.400,0.860
1,9:46,2,10,TAM 37,0,0,Rob Johnson sacked by Alfonso Boone and Bobbie Howard for -1 yards,0.860,0.040
1,9:14,3,11,TAM 36,0,0,Rob Johnson for 2 yards (tackle by Brian Urlacher),0.040,-0.850
1,8:47,4,9,TAM 38,0,0,"Tom Tupa punts 42 yards, returned by Ahmad Merritt for 11 yards (tackle by Nate Webster)",-0.850,-1.000
1,8:36,1,10,CHI 31,0,0,Henry Burris pass incomplete intended for Leon Johnson,1.000,0.460
1,8:32,2,10,CHI 31,0,0,Leon Johnson right tackle for no gain (tackle by Chartric Darby),0.460,-0.230
1,7:52,3,10,CHI 31,0,0,Henry Burris right end for 2 yards (tackle by Derrick Brooks),-0.230,-1.180
1,7:19,4,8,CHI 33,0,0,"Brad Maynard punts 75 yards, returned by Dexter Jackson for 21 yards (tackle by Larry Whigham). Penalty on CHI: Illegal Substitution, 5 yards",-1.180,-0.040
1,6:56,1,10,TAM 18,0,0,Rob Johnson pass complete to Ken Dilger for 5 yards (tackle by Michael Green),0.040,0.280
1,6:14,2,5,TAM 23,0,0,Rob Johnson pass incomplete intended for Keenan McCardell,0.280,-0.530
1,6:08,3,5,TAM 23,0,0,"Rob Johnson pass incomplete intended for Keyshawn Johnson. Penalty on R.W. McQuarters: Defensive Pass Interference, 19 yards (no play)",-0.530,1.730
1,6:03,1,10,TAM 42,0,0,Rob Johnson sacked by Phillip Daniels for -5 yards,1.730,0.510
