Player,Pos
Rob Johnson,QB
Michael Pittman,RB
Mike Alstott,FB
Keenan McCardell,WR
Keyshawn Johnson,WR
Ken Dilger,TE
Roman Oben,LT
Kerry Jenkins,LG
Jeff Christy,C
Cosey Coleman,RG
Kenyatta Walker,RT
Greg Spires,LDE
Warren Sapp,DT
Chartric Darby,NT
Simeon Rice,RDE
Alshermond Singleton,SLB
Shelton Quarles,MLB
Derrick Brooks,WLB
Brian Kelly,LCB
Ronde Barber,RCB
John Lynch,SS
Dexter Jackson,FS
