Unnamed: 0,TAM,CHI
First Downs,15,14
Rush-Yds-TDs,36-161-0,22-85-0
Cmp-Att-Yd-TD-INT,16-25-134-0-0,13-29-137-0-4
Sacked-Yards,5-23,1-4
Net Pass Yards,111,133
Total Yards,272,218
Fumbles-Lost,0-0,1-0
Turnovers,0,4
Penalties-Yards,6-26,5-45
Third Down Conv.,7-18,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,37:29,22:31
