Unnamed: 0,SDG,JAX
First Downs,18,18
Rush-Yds-TDs,20-79-1,37-122-1
Cmp-Att-Yd-TD-INT,22-40-309-1-2,15-24-189-2-0
Sacked-Yards,0-0,0-0
Net Pass Yards,309,189
Total Yards,388,311
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,4-31,5-42
Third Down Conv.,4-12,5-14
Fourth Down Conv.,1-2,2-2
Time of Possession,27:03,32:57
