Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
1,9:09,1,10,SDG 5,0,3,LaDainian Tomlinson up the middle for 4 yards (tackle by Mike Peterson),-0.380,-0.490
1,8:38,2,6,SDG 9,0,3,LaDainian Tomlinson left end for 6 yards (tackle by Clint Ingram),-0.490,-0.220
1,8:12,1,10,SDG 15,0,3,LaDainian Tomlinson for 3 yards (tackle by Rashean Mathis),-0.220,-0.280
1,7:36,2,7,SDG 18,0,3,LaDainian Tomlinson up the middle for -1 yards (tackle by Rob Meier and John Henderson),-0.280,-1.120
1,6:54,3,8,SDG 17,0,3,Philip Rivers pass complete short right to Antonio Gates for 7 yards (tackle by Reggie Nelson),-1.120,-1.770
1,6:15,4,1,SDG 24,0,3,"Mike Scifres punts 49 yards, returned by Dennis Northcutt for 25 yards (tackle by Andrew Pinnock)",-1.770,-2.390
1,5:59,1,10,SDG 48,0,3,Fred Taylor right end for 13 yards (tackle by Marlon McCree),2.390,3.250
1,5:23,1,10,SDG 35,0,3,David Garrard pass incomplete short middle intended for Greg Estandia,3.250,2.700
1,5:17,2,10,SDG 35,0,3,Maurice Jones-Drew left end for 15 yards (tackle by Marlon McCree),2.700,4.240
1,4:39,,,,0,3,Timeout #1 by Jacksonville Jaguars,0.000,4.240
1,4:39,1,10,SDG 20,0,3,David Garrard pass incomplete short middle intended for Maurice Jones-Drew (defended by Igor Olshansky),4.240,3.690
1,4:35,2,10,SDG 20,0,3,Fred Taylor up the middle for 3 yards (tackle by Ryon Bingham),3.690,3.360
1,3:54,3,7,SDG 17,0,3,David Garrard pass complete short middle to Dennis Northcutt for 6 yards (tackle by Steve Gregory),3.360,2.850
1,3:13,,,,0,3,Timeout #2 by Jacksonville Jaguars,0.000,2.850
1,3:13,4,1,SDG 11,0,3,David Garrard up the middle for 1 yard (tackle by Jamal Williams),2.850,4.910
1,2:53,1,10,SDG 10,0,3,Fred Taylor up the middle for 9 yards (tackle by Clinton Hart and Drayton Florence),4.910,5.910
1,2:11,2,1,SDG 1,0,3,Maurice Jones-Drew right end for no gain (tackle by Tim Dobbins),5.910,5.170
1,1:32,3,1,SDG 1,0,3,Maurice Jones-Drew right end for no gain (tackle by Ryon Bingham),5.170,3.550
1,0:44,4,1,SDG 1,0,9,"Maurice Jones-Drew right end for 1 yard, touchdown",3.550,7.000
1,,,,SDG 2,0,10,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,0,10,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
1,0:40,1,10,SDG 20,0,10,Philip Rivers pass complete short right to Antonio Gates for no gain,0.280,-0.270
Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,SDG 20,0,10,Philip Rivers pass complete short left to Chris Chambers for 9 yards (tackle by Rashean Mathis),-0.270,0.230
2,14:28,3,1,SDG 29,0,10,Lorenzo Neal up the middle for 1 yard (tackle by Mike Peterson),0.230,0.940
2,13:47,1,10,SDG 30,0,10,LaDainian Tomlinson up the middle for 5 yards (tackle by Sammy Knight and Clint Ingram),0.940,1.070
2,13:08,2,5,SDG 35,0,10,Philip Rivers pass complete short left to Craig Davis for 14 yards (tackle by Brian Williams),1.070,2.190
2,13:08,1,10,SDG 49,0,10,"Penalty on Mike Goff: False Start, 5 yards (no play)",2.190,1.860
2,12:16,1,15,SDG 44,0,10,Philip Rivers pass incomplete short right intended for Michael Turner,1.860,0.970
2,12:11,2,15,SDG 44,0,10,LaDainian Tomlinson up the middle for 2 yards (tackle by Derek Landri),0.970,0.560
2,11:29,3,13,SDG 46,0,10,Philip Rivers pass complete deep left to Chris Chambers for 44 yards (tackle by Reggie Nelson),0.560,4.910
,,,,,,,"SDG challenged the pass completion ruling, and the original play was overturned.",,
2,11:07,1,10,JAX 10,0,10,Philip Rivers pass incomplete short left intended for Vincent Jackson,4.910,4.190
2,11:02,2,10,JAX 10,0,10,LaDainian Tomlinson up the middle for 5 yards (tackle by Jeremy Mincey),4.190,4.260
2,10:06,3,5,JAX 5,0,10,Philip Rivers pass incomplete short left intended for Antonio Gates,4.260,3.010
2,10:02,4,5,JAX 5,3,10,Nate Kaeding 23 yard field goal good,3.010,3.000
2,,,,SDG 30,3,10,"Nate Kaeding kicks off 69 yards, returned by Maurice Jones-Drew for 26 yards (tackle by Kassim Osgood)",0.000,0.740
2,9:51,1,10,JAX 27,3,10,David Garrard pass complete short left to George Wrighster for 8 yards (tackle by Shaun Phillips),0.740,1.280
2,9:23,2,2,JAX 35,3,10,Maurice Jones-Drew up the middle for no gain (tackle by Jamal Williams),1.280,0.560
2,8:42,3,2,JAX 35,3,10,David Garrard pass complete short left to George Wrighster for 2 yards (tackle by Drayton Florence),0.560,1.400
2,8:09,1,10,JAX 37,3,10,"Maurice Jones-Drew right end for 3 yards (tackle by Stephen Cooper). Penalty on Drayton Florence: Illegal Use of Hands, 5 yards",1.400,1.930
2,7:40,1,10,JAX 45,3,10,David Garrard pass incomplete deep middle intended for George Wrighster (defended by Jamal Williams),1.930,1.380
2,7:36,2,10,JAX 45,3,10,Fred Taylor up the middle for 3 yards (tackle by Shaun Phillips),1.380,1.090
2,6:56,3,7,JAX 48,3,10,David Garrard pass complete deep middle to Ernest Wilford for 16 yards (tackle by Marlon McCree),1.090,3.180
2,6:11,1,10,SDG 36,3,10,Fred Taylor up the middle for no gain (tackle by Brandon McKinney),3.180,2.640
2,5:33,2,10,SDG 36,3,16,"David Garrard pass complete deep middle to Reggie Williams for 36 yards, touchdown",2.640,7.000
2,,,,SDG 2,3,17,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,3,17,"Josh Scobee kicks off 70 yards, returned by Darren Sproles for 15 yards (tackle by Terry Cousin)",0.000,-0.220
2,5:19,1,10,SDG 15,3,17,Philip Rivers pass complete short middle to LaDainian Tomlinson for 4 yards (tackle by Clint Ingram),-0.220,-0.110
2,4:40,2,6,SDG 19,3,17,LaDainian Tomlinson up the middle for 19 yards (tackle by Rashean Mathis),-0.110,1.470
2,4:05,1,10,SDG 38,3,17,Philip Rivers pass incomplete short left intended for Antonio Gates,1.470,0.920
2,3:58,2,10,SDG 38,3,17,Philip Rivers pass complete short middle to Craig Davis for 9 yards (tackle by Daryl Smith),0.920,1.420
2,3:24,3,1,SDG 47,3,17,LaDainian Tomlinson up the middle for 5 yards (tackle by Daryl Smith),1.420,2.390
2,2:44,1,10,JAX 48,3,17,Philip Rivers pass incomplete deep right intended for Chris Chambers,2.390,1.850
2,2:36,2,10,JAX 48,3,17,Philip Rivers pass complete short right to Legedu Naanee for 3 yards (tackle by Mike Peterson),1.850,1.550
2,2:00,3,7,JAX 45,3,17,Philip Rivers pass incomplete short left intended for Legedu Naanee,1.550,0.270
2,1:56,4,7,JAX 45,3,17,Mike Scifres punts 41 yards,0.270,0.380
2,1:46,1,10,JAX 4,3,17,"Fred Taylor for 4 yards (tackle by Clinton Hart). Penalty on George Wrighster: Offensive Holding, 2 yards (no play)",-0.380,-0.460
2,1:39,1,12,JAX 2,3,17,Fred Taylor up the middle for 2 yards (tackle by Stephen Cooper),-0.460,-0.780
2,1:32,,,,3,17,Timeout #1 by San Diego Chargers,0.000,-0.780
2,1:32,2,10,JAX 4,3,17,David Garrard pass complete short right to Greg Estandia for 8 yards (tackle by Shaun Phillips),-0.780,-0.480
2,1:27,3,2,JAX 12,3,17,Maurice Jones-Drew up the middle for 3 yards (tackle by Jacques Cesaire),-0.480,-0.220
2,1:20,,,,3,17,Timeout #2 by San Diego Chargers,0.000,-0.220
2,1:16,1,10,JAX 15,3,17,Fred Taylor left end for 9 yards (tackle by Marlon McCree),-0.220,0.620
2,0:34,2,1,JAX 24,3,17,Fred Taylor right end for 3 yards (tackle by Shaun Phillips),0.620,0.740
Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,3,17,Josh Scobee kicks off 67 yards,0.000,1.600
3,15:00,1,10,SDG 40,3,17,Philip Rivers pass complete to Vincent Jackson for 20 yards (tackle by Scott Starks),1.600,2.920
3,14:25,1,10,JAX 40,3,17,Philip Rivers pass incomplete deep left intended for Vincent Jackson,2.920,2.370
3,14:14,2,10,JAX 40,3,17,Philip Rivers pass complete to LaDainian Tomlinson for 34 yards (tackle by Brian Williams),2.370,5.830
3,13:30,1,6,JAX 6,3,17,Philip Rivers pass incomplete short left intended for Chris Chambers,5.830,4.950
3,13:24,2,6,JAX 6,9,17,"LaDainian Tomlinson right end for 6 yards, touchdown",4.950,7.000
3,,,,JAX 2,10,17,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,10,17,"Nate Kaeding kicks off 61 yards, returned by Maurice Jones-Drew for 16 yards (tackle by Carlos Polk)",0.000,0.610
3,13:13,1,10,JAX 25,10,17,Fred Taylor left end for 5 yards (tackle by Jamal Williams and Stephen Cooper),0.610,0.740
3,12:35,2,5,JAX 30,10,17,"Fred Taylor right end for 1 yard (tackle by Ryon Bingham). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (no play)",0.740,-0.610
3,12:06,2,15,JAX 20,10,17,David Garrard pass complete short right to Maurice Jones-Drew for 4 yards (tackle by Shaun Phillips),-0.610,-0.760
3,11:29,3,11,JAX 24,10,17,David Garrard pass incomplete short middle intended for Maurice Jones-Drew (defended by Shawne Merriman),-0.760,-1.770
3,11:22,4,11,JAX 24,10,17,"Adam Podlesh punts 49 yards, returned by Darren Sproles for 3 yards (tackle by Brent Hawkins)",-1.770,-0.940
3,11:12,1,10,SDG 30,10,17,LaDainian Tomlinson left end for no gain (tackle by Paul Spicer),0.940,0.390
3,10:35,2,10,SDG 30,10,17,Philip Rivers pass incomplete short right intended for Chris Chambers,0.390,-0.300
3,10:28,3,10,SDG 30,10,17,Philip Rivers pass complete deep middle to Antonio Gates for 23 yards (tackle by Jamaal Fudge),-0.300,2.460
3,9:50,1,10,JAX 47,10,17,Philip Rivers pass complete short right to Legedu Naanee for 3 yards (tackle by Mike Peterson),2.460,2.320
3,9:31,2,7,JAX 44,10,17,LaDainian Tomlinson up the middle for 1 yard (tackle by Paul Spicer),2.320,1.750
3,8:48,3,6,JAX 43,10,17,Philip Rivers pass complete short right to Legedu Naanee for 4 yards (tackle by Terry Cousin),1.750,0.660
3,8:10,4,2,JAX 39,10,17,Mike Scifres punts 26 yards,0.660,0.320
3,8:01,1,10,JAX 13,10,17,Fred Taylor up the middle for 2 yards (tackle by Shaun Phillips),-0.320,-0.570
3,7:24,2,8,JAX 15,10,17,David Garrard pass complete short middle to Dennis Northcutt for 22 yards (tackle by Marlon McCree),-0.570,1.400
3,6:44,1,10,JAX 37,10,17,David Garrard pass complete deep middle to George Wrighster for 36 yards (tackle by Marlon McCree),1.400,3.780
3,5:55,1,10,SDG 27,10,17,David Garrard pass complete deep middle to Reggie Williams for 26 yards (tackle by Marlon McCree),3.780,6.970
3,5:09,1,1,SDG 1,10,23,"David Garrard pass complete short left to Marcedes Lewis for 1 yard, touchdown",6.970,7.000
3,,,,SDG 2,10,24,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 30,10,24,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
3,5:02,1,10,SDG 20,10,24,LaDainian Tomlinson up the middle for no gain (tackle by Paul Spicer),0.280,-0.270
3,4:22,2,10,SDG 20,10,24,Philip Rivers pass complete short left to LaDainian Tomlinson for 9 yards (tackle by Brian Williams),-0.270,0.230
3,3:37,3,1,SDG 29,10,24,Lorenzo Neal up the middle for no gain (tackle by Grady Jackson),0.230,-1.440
3,2:58,4,1,SDG 29,10,24,"Mike Scifres punts 63 yards, returned by Dennis Northcutt for 13 yards (tackle by Tim Dobbins)",-1.440,-0.340
3,2:47,1,10,JAX 21,10,24,David Garrard pass complete short left to George Wrighster for 2 yards (tackle by Matt Wilhelm),0.340,0.070
3,2:05,2,8,JAX 23,10,24,Fred Taylor up the middle for 3 yards (tackle by Shawne Merriman),0.070,-0.230
3,1:23,3,5,JAX 26,10,24,David Garrard pass incomplete short middle intended for Dennis Northcutt,-0.230,-1.630
3,1:19,4,5,JAX 26,10,24,"Adam Podlesh punts 42 yards, returned by Darren Sproles for 7 yards (tackle by Brent Hawkins)",-1.630,-1.530
3,1:07,1,10,SDG 39,10,24,Philip Rivers pass incomplete short left intended for Chris Chambers,1.530,0.990
3,1:01,2,10,SDG 39,10,24,Philip Rivers pass complete short right to Craig Davis for 16 yards (tackle by Reggie Nelson),0.990,2.590
3,0:25,1,10,JAX 45,10,24,LaDainian Tomlinson left end for 4 yards (tackle by Brian Williams),2.590,2.580
3,0:00,2,6,JAX 41,10,24,Philip Rivers pass complete short left to Darren Sproles for no gain,2.580,1.880
Quarter,Time,Down,ToGo,Location,SDG,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,JAX 41,10,24,LaDainian Tomlinson up the middle for 4 yards (tackle by John Henderson),1.880,0.790
4,14:21,4,2,JAX 37,10,24,LaDainian Tomlinson right end for -1 yards (tackle by Reggie Hayward),0.790,-1.530
4,14:14,1,10,JAX 39,10,24,Maurice Jones-Drew up the middle for 2 yards (tackle by Matt Wilhelm),1.530,1.260
4,13:35,2,8,JAX 41,10,24,"David Garrard pass complete deep right to Maurice Jones-Drew for 11 yards (tackle by Igor Olshansky). Penalty on JAX: Illegal Formation (Declined), Penalty on Marcedes Lewis: Offensive Holding, 10 yards (no play)",1.260,-0.090
4,13:12,2,18,JAX 31,10,24,Fred Taylor up the middle for 1 yard (tackle by Quentin Jammer),-0.090,-0.630
4,12:33,3,17,JAX 32,10,24,David Garrard pass incomplete short right intended for Ernest Wilford. Penalty on Maurice Williams: Ineligible Downfield Pass (Declined),-0.630,-1.240
4,12:25,4,17,JAX 32,10,24,"Adam Podlesh punts 45 yards, returned by Darren Sproles for 7 yards (tackle by Greg Jones). Penalty on Chad Nkang: Illegal Formation, 5 yards",-1.240,-1.270
4,12:13,1,10,SDG 35,10,24,Philip Rivers pass incomplete short right intended for Vincent Jackson,1.270,0.720
4,12:07,2,10,SDG 35,10,24,"Philip Rivers pass complete deep middle to Chris Chambers for 19 yards (tackle by Sammy Knight). Penalty on Cory Withrow: Offensive Holding, 10 yards (no play)",0.720,-0.630
4,11:41,2,20,SDG 25,10,24,Philip Rivers pass complete short middle to LaDainian Tomlinson for 35 yards (tackle by Scott Starks),-0.630,2.920
4,11:01,1,10,JAX 40,10,24,Philip Rivers pass incomplete short right intended for Antonio Gates,2.920,2.370
4,10:55,2,10,JAX 40,10,24,Philip Rivers pass complete short left to Darren Sproles for no gain,2.370,1.680
4,10:10,3,10,JAX 40,10,24,"Philip Rivers pass complete short middle to Chris Chambers for 10 yards (tackle by Brian Williams). Penalty on Chris Chambers: Offensive Pass Interference, 11 yards (no play)",1.680,0.230
4,9:44,3,21,SDG 49,10,24,Philip Rivers pass incomplete deep left intended for Antonio Gates is intercepted by Reggie Nelson at JAX-17 and returned for 34 yards (tackle by Craig Davis),0.230,-2.320
4,9:28,1,10,SDG 49,10,24,David Garrard left end for 7 yards (tackle by Shaun Phillips),2.320,2.730
4,8:42,2,3,SDG 42,10,24,Fred Taylor right end for 1 yard (tackle by Matt Wilhelm),2.730,2.150
4,7:58,3,2,SDG 41,10,24,Maurice Jones-Drew right end for -5 yards (tackle by Clinton Hart),2.150,0.200
4,7:14,4,7,SDG 46,10,24,Adam Podlesh punts 36 yards,0.200,0.380
4,7:03,1,10,SDG 10,10,24,Philip Rivers pass complete deep middle to Chris Chambers for 20 yards (tackle by Reggie Nelson),-0.380,0.940
4,6:31,1,10,SDG 30,10,24,Philip Rivers pass complete short left to LaDainian Tomlinson for 11 yards (tackle by Jeremy Mincey),0.940,1.660
4,6:03,1,10,SDG 41,10,24,Philip Rivers pass incomplete short right intended for Brandon Manumaleuna,1.660,1.120
4,5:56,2,10,SDG 41,10,24,Philip Rivers pass incomplete deep right intended for Antonio Gates,1.120,0.430
4,5:50,3,10,SDG 41,10,24,Philip Rivers pass incomplete deep right intended for Legedu Naanee,0.430,-0.650
4,5:43,4,10,SDG 41,10,24,"Philip Rivers pass complete deep middle to Chris Chambers for 20 yards (tackle by Reggie Nelson). Penalty on Reggie Nelson: Unnecessary Roughness, 15 yards",-0.650,3.970
4,5:13,1,10,JAX 24,16,24,"Philip Rivers pass complete deep middle to Antonio Gates for 24 yards, touchdown",3.970,7.000
4,,,,JAX 2,17,24,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,17,24,"Nate Kaeding kicks off 62 yards, returned by Maurice Jones-Drew for 15 yards (tackle by Steve Gregory)",0.000,0.480
4,5:01,1,10,JAX 23,17,24,Fred Taylor up the middle for 5 yards (tackle by Matt Wilhelm and Ryon Bingham),0.480,0.610
4,4:12,2,5,JAX 28,17,24,Fred Taylor up the middle for 11 yards (tackle by Shaun Phillips),0.610,1.530
4,3:28,1,10,JAX 39,17,24,Fred Taylor up the middle for no gain (tackle by Ryon Bingham),1.530,0.990
4,2:44,2,10,JAX 39,17,24,David Garrard pass complete short right to George Wrighster for -1 yards (tackle by Matt Wilhelm),0.990,0.170
4,2:29,,,,17,24,Timeout #1 by San Diego Chargers,0.000,0.170
4,2:29,3,11,JAX 38,17,24,Maurice Jones-Drew left end for 6 yards (tackle by Jacques Cesaire),0.170,-0.460
4,2:20,,,,17,24,Timeout #2 by San Diego Chargers,0.000,-0.460
4,2:19,4,5,JAX 44,17,24,Adam Podlesh punts 31 yards,-0.460,-0.610
4,2:13,1,10,SDG 25,17,24,Philip Rivers up the middle for 6 yards (tackle by Mike Peterson),0.610,0.870
4,2:00,2,4,SDG 31,17,24,Philip Rivers up the middle for 10 yards,0.870,1.660
4,1:37,1,10,SDG 41,17,24,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,1.660,1.120
4,1:32,2,10,SDG 41,17,24,Philip Rivers pass incomplete short middle intended for Legedu Naanee is intercepted by Sammy Knight at SDG-48 and returned for 5 yards (tackle by Mike Goff),1.120,-2.720
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:26,1,10,SDG 43,17,24,David Garrard kneels for -1 yards,2.720,2.040
4,0:46,2,11,SDG 44,17,24,David Garrard kneels for -2 yards,2.040,1.090
4,0:06,3,13,SDG 46,17,24,David Garrard kneels for -1 yards,1.090,0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
