Quarter,Time,Tm,Detail,SDG,JAX
1.0,9:12,Jaguars,Josh Scobee 48 yard field goal,0,3
,0:40,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),0,10
2.0,9:58,Chargers,Nate Kaeding 23 yard field goal,3,10
,5:25,Jaguars,Reggie Williams 36 yard pass from David Garrard (Josh Scobee kick),3,17
3.0,13:19,Chargers,LaDainian Tomlinson 6 yard rush (Nate Kaeding kick),10,17
,5:02,Jaguars,Marcedes Lewis 1 yard pass from David Garrard (Josh Scobee kick),10,24
4.0,5:06,Chargers,Antonio Gates 24 yard pass from Philip Rivers (Nate Kaeding kick),17,24
