Unnamed: 0,DEN,LVR
First Downs,17,22
Rush-Yds-TDs,20-48-1,31-129-1
Cmp-Att-Yd-TD-INT,20-34-272-1-1,20-32-244-2-0
Sacked-Yards,5-34,3-14
Net Pass Yards,238,230
Total Yards,286,359
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,4-35,0-0
Third Down Conv.,4-12,7-13
Fourth Down Conv.,2-3,0-0
Time of Possession,29:24,30:36
