Unnamed: 0,DET,NOR
First Downs,24,27
Rush-Yds-TDs,23-150-2,18-69-0
Cmp-Att-Yd-TD-INT,22-25-254-3-0,34-52-341-3-0
Sacked-Yards,3-8,1-11
Net Pass Yards,246,330
Total Yards,396,399
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,10-92,6-28
Third Down Conv.,4-8,5-14
Fourth Down Conv.,0-0,2-2
Time of Possession,29:36,30:24
