Quarter,Time,Down,ToGo,Location,DET,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NOR 20,0,0,Tim Hightower right tackle for 3 yards (tackle by Darius Slay),0.280,0.140
1,14:27,2,7,NOR 23,0,0,Drew Brees pass complete short right to C.J. Spiller for 2 yards (tackle by Stephen Tulloch),0.140,-0.300
1,13:43,3,5,NOR 25,0,0,Drew Brees pass incomplete deep left intended for Brandin Cooks,-0.300,-1.700
1,13:38,4,5,NOR 25,0,0,"Thomas Morstead punts 46 yards, returned by Golden Tate for 14 yards (tackle by Obum Gwacham)",-1.700,-1.800
1,13:27,1,10,DET 43,0,0,Ameer Abdullah left tackle for 1 yard (tackle by Stephone Anthony and Dannell Ellerbe),1.800,1.390
1,12:47,2,9,DET 44,0,0,Matthew Stafford sacked by Kasim Edebali for 0 yards,1.390,0.690
1,12:06,3,9,DET 44,0,0,Matthew Stafford left tackle for 1 yard (tackle by Kasim Edebali and Cameron Jordan),0.690,-0.390
1,11:25,4,8,DET 45,0,0,Sam Martin punts 49 yards,-0.390,0.380
1,11:14,1,10,NOR 6,0,0,Kendall Hunter right guard for 2 yards (tackle by Stephen Tulloch),-0.380,-0.630
1,10:42,2,8,NOR 8,0,0,Drew Brees pass incomplete short left intended for Ben Watson (defended by Haloti Ngata),-0.630,-1.190
1,10:37,3,8,NOR 8,0,0,Drew Brees pass incomplete short middle intended for Willie Snead (defended by Isa Abdul-Quddus),-1.190,-2.490
1,10:32,4,8,NOR 8,0,0,"Thomas Morstead punts 32 yards, out of bounds",-2.490,-2.920
1,10:25,1,10,NOR 40,0,0,Matthew Stafford pass complete short left to Golden Tate for 7 yards (tackle by Kenny Vaccaro),2.920,3.320
1,9:46,2,3,NOR 33,0,0,Matthew Stafford pass complete short middle to Michael Burton for 6 yards (tackle by James Anderson),3.320,3.780
1,9:01,1,10,NOR 27,0,0,"Matthew Stafford pass complete deep middle to Calvin Johnson for 19 yards (tackle by Brandon Browner). Penalty on Brandon Browner: Unnecessary Roughness, 4 yards",3.780,6.280
