Quarter,Time,Down,ToGo,Location,PIT,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 70 yards, returned by Darius Reynaud for 32 yards (tackle by Chris Rainey)",0.000,0.740
1,14:54,1,10,TEN 27,0,0,Matt Hasselbeck pass complete deep left to Nate Washington for 19 yards (tackle by Ryan Clark),0.740,1.990
1,14:25,1,10,TEN 46,0,0,Matt Hasselbeck pass incomplete deep left intended for Kenny Britt,1.990,1.450
1,14:20,2,10,TEN 46,0,0,Chris Johnson up the middle for 7 yards (tackle by Jason Worilds and Will Allen),1.450,1.690
1,13:34,3,3,PIT 47,0,0,Matt Hasselbeck pass complete short left to Kenny Britt for 15 yards (tackle by Ike Taylor),1.690,3.450
1,13:03,1,10,PIT 32,0,0,Chris Johnson up the middle for 5 yards (tackle by Ryan Clark),3.450,3.580
1,12:25,2,5,PIT 27,0,0,"Matt Hasselbeck pass incomplete deep left intended for Damian Williams. Penalty on Ike Taylor: Defensive Pass Interference, 25 yards (no play)",3.580,6.740
1,12:19,1,2,PIT 2,0,0,Matt Hasselbeck sacked by James Harrison for -8 yards,6.740,4.190
1,11:43,2,10,PIT 10,0,0,Matt Hasselbeck pass complete short right to Jared Cook for 6 yards (tackle by Ryan Clark and Lawrence Timmons),4.190,4.490
1,11:02,3,4,PIT 4,0,0,Matt Hasselbeck pass incomplete short right intended for Kendall Wright,4.490,3.030
1,10:58,4,4,PIT 4,0,3,Rob Bironas 22 yard field goal good,3.030,3.000
1,10:53,,,TEN 35,0,3,"Rob Bironas kicks off 69 yards, returned by Chris Rainey for 49 yards (tackle by Tommie Campbell)",0.000,1.930
1,10:45,1,10,PIT 45,0,3,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,1.930,1.380
1,10:39,2,10,PIT 45,0,3,Ben Roethlisberger pass complete short left to Heath Miller for 4 yards (tackle by Zach Brown),1.380,1.220
1,9:53,3,6,PIT 49,0,3,Ben Roethlisberger pass complete short middle to Isaac Redman for 33 yards (tackle by Jordan Babineaux and Jason McCourty),1.220,4.370
1,9:03,1,10,TEN 18,0,3,Rashard Mendenhall up the middle for 3 yards (tackle by Jurrell Casey),4.370,4.250
1,8:18,2,7,TEN 15,0,3,Ben Roethlisberger pass incomplete short right intended for Mike Wallace,4.250,3.460
1,8:11,3,7,TEN 15,0,3,Ben Roethlisberger pass complete short right to Isaac Redman for 4 yards (tackle by Michael Griffin and Ryan Mouton),3.460,2.800
1,7:29,4,3,TEN 11,3,3,Shaun Suisham 29 yard field goal good,2.800,3.000
1,7:24,,,PIT 35,3,3,"Shaun Suisham kicks off 60 yards, returned by Darius Reynaud for 16 yards (tackle by Chris Carter)",0.000,0.340
1,7:18,1,10,TEN 21,3,3,Chris Johnson right tackle for 3 yards (tackle by Brett Keisel),0.340,0.210
1,6:36,2,7,TEN 24,3,3,Matt Hasselbeck pass incomplete deep middle intended for Craig Stevens (defended by Ryan Clark),0.210,-0.490
1,6:29,3,7,TEN 24,3,3,Matt Hasselbeck pass complete short right to Craig Stevens for 4 yards (tackle by Cortez Allen),-0.490,-1.500
1,5:48,4,3,TEN 28,3,3,"Brett Kern punts 48 yards, returned by Antonio Brown for 6 yards (tackle by Beau Brinkley). Penalty on Demarcus Van Dyke: Offensive Holding, 10 yards",-1.500,-0.040
1,5:37,1,10,PIT 18,9,3,"Ben Roethlisberger pass complete deep right to Mike Wallace for 82 yards, touchdown",0.040,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
1,5:37,,,TEN 2,10,3,Shaun Suisham kicks extra point good,0.000,0.000
1,5:25,,,PIT 35,10,3,"Shaun Suisham kicks off 60 yards, returned by Darius Reynaud for 22 yards (tackle by Robert Golden)",0.000,0.740
1,5:18,1,10,TEN 27,10,3,Matt Hasselbeck up the middle for 2 yards (tackle by Larry Foote),0.740,0.470
1,4:41,2,8,TEN 29,10,3,Chris Johnson right guard for no gain (tackle by Larry Foote and Lawrence Timmons),0.470,-0.230
1,4:02,3,8,TEN 29,10,3,"Matt Hasselbeck pass complete deep left to Kenny Britt for 37 yards (tackle by Will Allen). Kenny Britt fumbles (forced by Will Allen), recovered by Kenny Britt at PIT-34. Penalty on Ike Taylor: Defensive Pass Interference (Declined)",-0.230,3.310
1,3:44,1,10,PIT 34,10,3,Matt Hasselbeck pass complete short left to Damian Williams for 12 yards (tackle by Ike Taylor),3.310,4.110
1,3:04,1,10,PIT 22,10,3,Matt Hasselbeck pass complete short left to Taylor Thompson for 5 yards (tackle by James Harrison),4.110,4.290
1,2:29,2,5,PIT 17,10,3,"Penalty on Leroy Harris: False Start, 5 yards (no play)",4.290,3.560
1,2:05,2,10,PIT 22,10,3,Matt Hasselbeck pass complete short left to Chris Johnson for 1 yard (tackle by James Harrison),3.560,3.010
1,1:20,3,9,PIT 21,10,3,Matt Hasselbeck pass incomplete short right intended for Kenny Britt (defended by Keenan Lewis),3.010,2.060
1,1:16,4,9,PIT 21,10,6,Rob Bironas 38 yard field goal good,2.060,3.000
1,1:11,,,TEN 35,10,6,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
1,1:11,1,10,PIT 20,10,6,Ben Roethlisberger pass complete short right to Antonio Brown for 7 yards (tackle by Jordan Babineaux),0.280,0.680
1,0:52,2,3,PIT 27,10,6,Rashard Mendenhall up the middle for -4 yards (tackle by Jurrell Casey),0.680,-0.560
1,0:09,3,7,PIT 23,10,6,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown (defended by Jason McCourty),-0.560,-1.830
1,0:03,4,7,PIT 23,10,6,"Drew Butler punts, blocked by Tim Shaw, recovered by Jason McCourty",-1.830,-6.970
Quarter,Time,Down,ToGo,Location,PIT,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,1,PIT 1,10,6,Chris Johnson left tackle for no gain (tackle by Lawrence Timmons and James Harrison),6.970,5.910
2,14:20,2,1,PIT 1,10,12,"Jamie Harper left tackle for 1 yard, touchdown",5.910,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,14:20,,,PIT 2,10,13,Rob Bironas kicks extra point good,0.000,0.000
2,14:14,,,TEN 35,10,13,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
