Quarter,Time,Tm,Detail,PIT,TEN
1.0,10:53,Titans,Rob Bironas 22 yard field goal,0,3
,7:24,Steelers,Shaun Suisham 29 yard field goal,3,3
,5:25,Steelers,Mike Wallace 82 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,3
,1:11,Titans,Rob Bironas 38 yard field goal,10,6
2.0,14:14,Titans,Jamie Harper 1 yard rush (Rob Bironas kick),10,13
,0:00,Titans,Rob Bironas 47 yard field goal,10,16
3.0,9:03,Steelers,Shaun Suisham 28 yard field goal,13,16
4.0,13:34,Steelers,Baron Batch 1 yard rush (Shaun Suisham kick),20,16
,8:18,Steelers,Shaun Suisham 52 yard field goal,23,16
,4:19,Titans,Kenny Britt 5 yard pass from Matt Hasselbeck (Rob Bironas kick),23,23
,0:00,Titans,Rob Bironas 40 yard field goal,23,26
