Unnamed: 0,PIT,TEN
First Downs,19,21
Rush-Yds-TDs,22-56-1,22-94-1
Cmp-Att-Yd-TD-INT,24-40-363-1-1,25-44-290-1-1
Sacked-Yards,1-7,3-25
Net Pass Yards,356,265
Total Yards,412,359
Fumbles-Lost,0-0,2-0
Turnovers,1,1
Penalties-Yards,4-50,5-45
Third Down Conv.,7-15,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,29:57,30:03
