Unnamed: 0,LAR,SFO
First Downs,21,13
Rush-Yds-TDs,18-57-0,22-88-1
Cmp-Att-Yd-TD-INT,32-48-254-0-1,16-27-239-1-0
Sacked-Yards,7-54,0-0
Net Pass Yards,200,239
Total Yards,257,327
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,1-5,4-25
Third Down Conv.,5-15,5-12
Fourth Down Conv.,2-2,0-1
Time of Possession,34:34,25:26
