Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
1,5:35,3,9,SFO 41,3,0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 10 yards (tackle by Grant Haley and Taylor Rapp),0.500,2.320
1,4:57,1,10,LAR 49,3,0,Jeff Wilson right tackle for -2 yards (tackle by Aaron Donald),2.320,1.510
1,4:15,2,12,SFO 49,3,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 7 yards (tackle by Ernest Jones and Taylor Rapp),1.510,1.750
1,3:37,3,5,LAR 44,3,0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 12 yards (tackle by Bobby Wagner),1.750,3.450
1,2:52,,,,,,Timeout #1 by San Francisco 49ers,,
1,2:52,1,10,LAR 32,3,6,"Jeff Wilson left guard for 32 yards, touchdown",3.450,7.000
1,2:46,,,LAR 15,3,7,Robbie Gould kicks extra point good,0.000,0.000
1,2:46,,,SFO 35,3,7,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
1,2:46,1,10,LAR 25,3,7,Cam Akers up the middle for 2 yards (tackle by Charles Omenihu and Dre Greenlaw),0.610,0.330
1,2:25,2,8,LAR 27,3,7,Matthew Stafford pass incomplete short left intended for Cam Akers,0.330,-0.360
1,2:21,3,8,LAR 27,3,7,Matthew Stafford sacked by Nick Bosa for -9 yards,-0.360,-2.240
1,1:37,4,17,LAR 18,3,7,Riley Dixon punts 56 yards downed by Terrell Burgess,-2.240,-0.670
1,1:27,1,10,SFO 26,3,7,Jimmy Garoppolo pass complete short right to Deebo Samuel for 15 yards (tackle by Nick Scott),0.670,1.660
1,0:47,1,10,SFO 41,3,7,Deebo Samuel left tackle for 1 yard (tackle by Bobby Wagner),1.660,1.260
Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,SFO 42,3,7,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 11 yards (tackle by A'Shawn Robinson and Bobby Wagner),1.260,2.460
2,14:14,1,10,LAR 47,3,7,Jeff Wilson right tackle for 2 yards (tackle by Leonard Floyd),2.460,2.180
2,13:35,2,8,LAR 45,3,7,Jeff Wilson left tackle for 2 yards (tackle by Bobby Wagner and Justin Hollins),2.180,1.750
2,12:55,3,6,LAR 43,3,7,Jimmy Garoppolo pass incomplete short right intended for Jauan Jennings,1.750,0.400
2,12:49,4,6,LAR 43,3,7,"Mitch Wishnowsky punts 43 yards, touchback.",0.400,-0.280
2,12:40,1,10,LAR 20,3,7,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.280,-0.270
2,12:36,2,10,LAR 20,3,7,Darrell Henderson up the middle for 1 yard (tackle by Fred Warner),-0.270,-0.820
2,12:06,3,9,LAR 21,3,7,Matthew Stafford pass incomplete deep right intended for Allen Robinson,-0.820,-1.960
2,11:58,4,9,LAR 21,3,7,Riley Dixon punts 57 yards out of bounds,-1.960,-0.410
2,11:51,1,10,SFO 22,3,7,Jimmy Garoppolo pass incomplete deep left intended for Charlie Woerner,0.410,-0.130
2,11:47,2,10,SFO 22,3,7,Jimmy Garoppolo pass incomplete short right intended for Ray-Ray McCloud (defended by Jalen Ramsey),-0.130,-0.820
2,11:42,3,10,SFO 22,3,7,Jimmy Garoppolo pass incomplete deep right intended for Jauan Jennings,-0.820,-1.900
2,11:38,4,10,SFO 22,3,7,"Mitch Wishnowsky punts 43 yards, fair catch by Brandon Powell at LA-35",-1.900,-1.270
2,11:30,1,10,LAR 35,3,7,Matthew Stafford pass complete short left to Tyler Higbee for 7 yards (tackle by Emmanuel Moseley),1.270,1.670
2,10:54,2,3,LAR 42,3,7,Matthew Stafford up the middle for 2 yards (tackle by Arik Armstead and Kevin Givens),1.670,1.220
2,10:19,3,1,LAR 44,3,7,"Penalty on Kevin Givens: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.220,2.190
2,9:58,1,10,LAR 49,3,7,Cam Akers right guard for 6 yards (tackle by Arik Armstead),2.190,2.460
2,9:19,2,4,SFO 45,3,7,Matthew Stafford pass complete short left to Tyler Higbee for 7 yards (tackle by Emmanuel Moseley),2.460,3.050
2,8:33,1,10,SFO 38,3,7,Matthew Stafford pass complete deep left to Cooper Kupp for 18 yards,3.050,4.240
2,7:56,1,10,SFO 20,3,7,Brandon Powell left end for 11 yards (tackle by Deommodore Lenoir),4.240,5.140
2,7:17,1,9,SFO 9,3,7,Matthew Stafford pass complete short left to Cooper Kupp for -2 yards (tackle by Emmanuel Moseley),5.140,4.020
2,6:35,2,11,SFO 11,3,7,Matthew Stafford pass incomplete short middle intended for Ben Skowronek,4.020,3.120
2,6:30,3,11,SFO 11,3,7,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,3.120,2.700
2,6:26,4,11,SFO 11,6,7,Matt Gay 29 yard field goal good,2.700,3.000
2,6:22,,,LAR 35,6,7,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,6:22,1,10,SFO 25,6,7,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 5 yards (tackle by Derion Kendrick),0.610,0.740
2,5:46,2,5,SFO 30,6,7,Jeff Wilson left tackle for 3 yards (tackle by Justin Hollins),0.740,0.430
2,5:07,3,2,SFO 33,6,7,Jimmy Garoppolo scrambles up the middle for 3 yards (tackle by Bobby Wagner),0.430,1.330
2,4:26,1,10,SFO 36,6,7,Jeff Wilson right tackle for 6 yards (tackle by Grant Haley),1.330,1.600
2,3:45,2,4,SFO 42,6,7,Jeff Wilson right tackle for 1 yard (tackle by Aaron Donald),1.600,1.030
2,3:01,3,3,SFO 43,6,13,"Jimmy Garoppolo pass complete short left to Deebo Samuel for 57 yards, touchdown",1.030,7.000
2,2:46,,,LAR 15,6,14,Robbie Gould kicks extra point good,0.000,0.000
2,2:46,,,SFO 35,6,14,"Robbie Gould kicks off 64 yards, returned by Brandon Powell for 20 yards (tackle by Demetrius Flannigan-Fowles)",0.000,0.340
2,2:39,1,10,LAR 21,6,14,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Kevin Givens),0.340,-0.200
2,2:36,2,10,LAR 21,6,14,Darrell Henderson up the middle for 5 yards (tackle by Samson Ebukam),-0.200,-0.160
2,2:00,3,4,LAR 26,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Fred Warner),-0.160,1.140
2,1:40,1,10,LAR 33,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Charvarius Ward),1.140,1.670
2,1:19,2,2,LAR 41,6,14,Matthew Stafford sacked by Charles Omenihu for -11 yards,1.670,-0.490
2,0:46,3,13,LAR 30,6,14,Matthew Stafford sacked by Deommodore Lenoir for -9 yards,-0.490,-1.960
2,0:41,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:41,4,22,LAR 21,6,14,"Riley Dixon punts 60 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Robert Rochell)",-1.960,-1.000
2,0:31,1,10,SFO 31,6,14,Jimmy Garoppolo pass complete short right to Ray-Ray McCloud for 6 yards (tackle by Greg Gaines and Grant Haley),1.000,1.270
2,0:12,2,4,SFO 37,6,14,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel (defended by Derion Kendrick),1.270,0.560
2,0:08,3,4,SFO 37,6,14,Jimmy Garoppolo pass incomplete deep left intended for Ray-Ray McCloud,0.560,-0.910
2,0:02,4,4,SFO 37,6,14,Jimmy Garoppolo pass incomplete deep right,-0.910,1.400
Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,6,14,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,6,14,Jeff Wilson left guard for 1 yard (tackle by Ernest Jones and Justin Hollins),0.610,0.200
3,14:25,2,9,SFO 26,6,14,Jimmy Garoppolo pass complete deep left to George Kittle for 20 yards (tackle by Ernest Jones and Bobby Wagner),0.200,1.990
3,13:44,1,10,SFO 46,6,14,Jimmy Garoppolo pass incomplete short right intended for Ross Dwelley (defended by Grant Haley),1.990,1.450
3,13:37,2,10,SFO 46,6,14,Jeff Wilson left guard for 5 yards (tackle by Nick Scott),1.450,1.420
3,12:55,3,5,LAR 49,6,14,Jimmy Garoppolo pass complete short left to Deebo Samuel for no gain (tackle by Ernest Jones),1.420,0.000
3,12:19,4,5,LAR 49,6,14,Mitch Wishnowsky punts 31 yards downed by Oren Burks,0.000,-0.040
3,12:08,1,10,LAR 18,6,14,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Talanoa Hufanga),0.040,0.140
3,11:29,2,6,LAR 22,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 12 yards (tackle by Talanoa Hufanga),0.140,1.200
3,10:40,1,10,LAR 34,6,14,Matthew Stafford pass complete short middle to Ben Skowronek for 16 yards (tackle by Tashaun Gipson),1.200,2.260
3,10:00,1,10,LAR 50,6,14,Darrell Henderson right guard for 3 yards (tackle by Tashaun Gipson),2.260,2.120
3,9:38,2,7,SFO 47,6,14,Matthew Stafford pass complete short middle to Tyler Higbee for 12 yards (tackle by Deommodore Lenoir and Fred Warner),2.120,3.250
3,8:55,1,10,SFO 35,6,14,Matthew Stafford pass incomplete short left intended for Tyler Higbee,3.250,2.700
3,8:51,2,10,SFO 35,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Dre Greenlaw),2.700,2.940
3,8:08,3,3,SFO 28,6,14,Matthew Stafford pass complete short left to Allen Robinson for 2 yards (tackle by Emmanuel Moseley),2.940,1.890
3,7:25,4,1,SFO 26,6,14,Cam Akers right guard for 4 yards (tackle by Charvarius Ward),1.890,4.110
3,6:48,1,10,SFO 22,6,14,Matthew Stafford sacked by Nick Bosa for -1 yards,4.110,3.430
3,6:15,2,11,SFO 23,6,14,"Matthew Stafford pass incomplete short right intended for Cam Akers. Penalty on Fred Warner: Illegal Contact, 5 yards (accepted) (no play)",3.430,4.370
3,6:09,1,10,SFO 18,6,14,Cam Akers left end for -3 yards (tackle by Dre Greenlaw),4.370,3.420
3,5:26,2,13,SFO 21,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 14 yards (tackle by Charvarius Ward),3.420,5.600
3,4:41,1,7,SFO 7,6,14,Matthew Stafford pass incomplete short right intended for Tyler Higbee,5.600,4.760
3,4:37,2,7,SFO 7,6,14,Matthew Stafford pass incomplete short right intended for Allen Robinson (defended by Charvarius Ward),4.760,3.810
3,4:33,3,7,SFO 7,6,14,Matthew Stafford pass incomplete short left intended for Tyler Higbee,3.810,2.970
3,4:28,4,7,SFO 7,9,14,Matt Gay 26 yard field goal good,2.970,3.000
3,4:25,,,LAR 35,9,14,"Matt Gay kicks off 61 yards, returned by Ray-Ray McCloud for 21 yards. Ray-Ray McCloud fumbles (forced by Jordan Fuller), recovered by Marlon Mack at SF-27 (tackle by Jordan Fuller)",0.000,0.740
3,4:17,1,10,SFO 27,9,14,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 35 yards (tackle by Nick Scott),0.740,3.050
3,3:48,1,10,LAR 38,9,14,Jeff Wilson up the middle for 5 yards (tackle by Nick Scott and Jordan Fuller),3.050,3.180
3,3:08,2,5,LAR 33,9,14,Jeff Wilson right guard for 8 yards (tackle by Bobby Wagner),3.180,3.910
3,2:23,1,10,LAR 25,9,14,Jeff Wilson up the middle for 8 yards (tackle by Derion Kendrick),3.910,4.550
3,1:42,2,2,LAR 17,9,14,Kyle Juszczyk left tackle for 9 yards (tackle by Jalen Ramsey),4.550,5.370
3,0:56,1,8,LAR 8,9,14,Jimmy Garoppolo pass complete short right to Deebo Samuel for 7 yards (tackle by Bobby Wagner and Derion Kendrick),5.370,5.910
3,0:07,2,1,LAR 1,9,14,Jeff Wilson right tackle for no gain (tackle by Bobby Wagner and Leonard Floyd),5.910,5.170
Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,LAR 1,9,14,"Jimmy Garoppolo pass complete short right to George Kittle for no gain Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jimmy Garoppolo pass incomplete short right intended for George Kittle",5.170,3.550
4,14:55,4,1,LAR 1,9,14,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",3.550,2.990
4,14:56,4,6,LAR 6,9,17,Robbie Gould 25 yard field goal good,2.990,3.000
4,14:53,,,SFO 35,9,17,"Robbie Gould kicks off 60 yards, returned by Brandon Powell for 16 yards (tackle by Charlie Woerner and Malik Turner)",0.000,0.340
4,14:47,1,10,LAR 21,9,17,Cam Akers up the middle for -2 yards (tackle by Kevin Givens),0.340,-0.530
4,14:04,2,12,LAR 19,9,17,Matthew Stafford pass complete short right to Darrell Henderson for 2 yards (tackle by Fred Warner),-0.530,-0.890
4,13:39,3,10,LAR 21,9,17,Matthew Stafford pass incomplete short left intended for Cooper Kupp,-0.890,-1.960
4,13:32,4,10,LAR 21,9,17,"Riley Dixon punts 56 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Riley Dixon and Jake Funk)",-1.960,-1.930
4,13:19,1,10,SFO 45,9,17,Jeff Wilson left tackle for 3 yards (tackle by Bobby Wagner),1.930,1.790
4,12:25,2,7,SFO 48,9,17,"Deebo Samuel up the middle for 4 yards (tackle by Bobby Wagner). Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",1.790,0.440
4,12:09,2,17,SFO 38,9,17,Jimmy Garoppolo pass complete short right to George Kittle for 4 yards (tackle by Grant Haley and Aaron Donald),0.440,0.300
4,11:27,3,13,SFO 42,9,17,Jimmy Garoppolo pass complete short left to Deebo Samuel for 29 yards (tackle by Leonard Floyd),0.300,3.640
4,10:10,1,10,LAR 29,9,17,Jeff Wilson right tackle for -1 yards (tackle by Aaron Donald),3.640,2.970
4,9:28,2,11,LAR 30,9,17,Jimmy Garoppolo pass incomplete short right intended for George Kittle,2.970,2.280
4,9:24,3,11,LAR 30,9,17,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 6 yards (tackle by Jalen Ramsey),2.280,1.920
4,8:43,4,5,LAR 24,9,17,Robbie Gould 42 yard field goal no good,1.920,-1.140
4,8:38,1,10,LAR 33,9,17,Darrell Henderson right tackle for 2 yards (tackle by Samson Ebukam and Kevin Givens),1.140,0.860
4,8:18,2,8,LAR 35,9,17,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Dre Greenlaw),0.860,1.930
4,7:42,1,10,LAR 45,9,17,Matthew Stafford pass complete short right to Tyler Higbee for 6 yards (tackle by Dre Greenlaw),1.930,2.190
4,7:20,2,4,SFO 49,9,17,Matthew Stafford pass complete short middle to Cooper Kupp for 5 yards (tackle by Deommodore Lenoir),2.190,2.650
4,6:36,1,10,SFO 44,9,23,"Matthew Stafford pass intended for Cooper Kupp is intercepted by Talanoa Hufanga at SF-48 and returned for 52 yards, touchdown",2.650,-7.000
4,6:27,,,LAR 15,9,24,Robbie Gould kicks extra point good,0.000,0.000
4,6:27,,,SFO 35,9,24,"Robbie Gould kicks off 61 yards, returned by Brandon Powell for 22 yards (tackle by Charlie Woerner)",0.000,0.670
4,6:21,1,10,LAR 26,9,24,Matthew Stafford pass complete short left to Allen Robinson for 5 yards (tackle by Emmanuel Moseley),0.670,0.810
4,5:58,2,5,LAR 31,9,24,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Dre Greenlaw),0.810,0.630
4,5:25,3,1,LAR 35,9,24,Darrell Henderson up the middle for 4 yards (tackle by Fred Warner),0.630,1.530
4,5:02,1,10,LAR 39,9,24,Matthew Stafford pass incomplete deep left intended for Allen Robinson,1.530,0.990
4,4:58,2,10,LAR 39,9,24,Matthew Stafford pass complete short middle to Kendall Blanton for 7 yards (tackle by Deommodore Lenoir and Dre Greenlaw),0.990,1.220
4,4:12,3,3,LAR 46,9,24,Matthew Stafford pass complete short right to Ben Skowronek for 17 yards (tackle by Deommodore Lenoir),1.220,3.120
4,3:48,1,10,SFO 37,9,24,Matthew Stafford pass incomplete short left intended for Darrell Henderson (defended by Drake Jackson),3.120,2.570
4,3:44,2,10,SFO 37,9,24,Matthew Stafford sacked by Hassan Ridgeway for -8 yards,2.570,0.830
4,3:11,3,18,SFO 45,9,24,Matthew Stafford pass complete short middle to Tyler Higbee for 8 yards (tackle by Dre Greenlaw),0.830,0.790
4,2:30,,,,,,Timeout #1 by Los Angeles Rams,,
4,2:30,4,10,SFO 37,9,24,Matthew Stafford pass complete short middle to Cooper Kupp for 13 yards (tackle by Talanoa Hufanga),0.790,3.970
4,2:06,1,10,SFO 24,9,24,Matthew Stafford pass incomplete deep left intended for Allen Robinson (defended by Emmanuel Moseley),3.970,3.430
4,2:02,2,10,SFO 24,9,24,Matthew Stafford pass incomplete short right intended for Tyler Higbee,3.430,2.740
4,1:58,3,10,SFO 24,9,24,"Matthew Stafford sacked by Samson Ebukam for -6 yards. Matthew Stafford fumbles (forced by Samson Ebukam), recovered by Kerry Hyder at SF-16 (tackle by Samson Ebukam)",2.740,0.140
4,1:49,1,10,SFO 16,9,24,Jeff Wilson up the middle for -1 yards (tackle by Leonard Floyd and Greg Gaines),-0.140,-0.780
4,1:44,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:44,2,11,SFO 15,9,24,Jeff Wilson left tackle for 2 yards (tackle by A'Shawn Robinson),-0.780,-1.200
4,1:40,,,,,,Timeout #3 by Los Angeles Rams,,
4,1:40,,,,,,Timeout #1 by San Francisco 49ers,,
4,1:40,3,9,SFO 17,9,24,Jeff Wilson up the middle for no gain (tackle by Aaron Donald and Ernest Jones),-1.200,-2.320
4,0:54,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:54,4,9,SFO 17,9,24,Mitch Wishnowsky punts 41 yards out of bounds,-2.320,-1.730
4,0:45,1,10,LAR 42,9,24,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards (tackle by Fred Warner and Deommodore Lenoir),1.730,2.400
4,0:22,2,1,SFO 49,9,24,Matthew Stafford pass complete short left to Darrell Henderson for 4 yards,2.400,2.590
4,0:16,1,10,SFO 45,9,24,Darrell Henderson left guard for 5 yards (tackle by Dre Greenlaw),2.590,2.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
