Unnamed: 0,CAR,LAR
First Downs,8,22
Rush-Yds-TDs,21-93-0,29-111-2
Cmp-Att-Yd-TD-INT,13-21-119-0-1,26-33-253-1-1
Sacked-Yards,2-9,1-4
Net Pass Yards,110,249
Total Yards,203,360
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,3-30,7-49
Third Down Conv.,2-10,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,22:55,37:05
