Unnamed: 0,DEN,HOU
First Downs,16,14
Rush-Yds-TDs,30-118-1,30-89-1
Cmp-Att-Yd-TD-INT,15-26-186-1-3,17-28-292-1-0
Sacked-Yards,3-22,5-28
Net Pass Yards,164,264
Total Yards,282,353
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,2-8,8-81
Third Down Conv.,0-11,4-16
Fourth Down Conv.,3-3,1-1
Time of Possession,26:56,33:04
