Quarter,Time,Down,ToGo,Location,NOR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Jake Camarda kicks off 52 yards, returned by Rashid Shaheed for 14 yards (tackle by SirVocea Dennis and K.J. Britt)",0.000,0.740
1,14:56,1,10,NOR 27,0,0,Derek Carr pass complete short right to Juwan Johnson for 4 yards (tackle by Zyon McCollum),0.740,0.740
1,14:19,2,6,NOR 31,0,0,Taysom Hill pass complete short right to Juwan Johnson for 11 yards (tackle by Kaevon Merriweather),0.740,1.730
1,13:44,1,10,NOR 42,0,0,Derek Carr pass incomplete short left intended for Chris Olave,1.730,1.190
1,13:40,2,10,NOR 42,0,0,Alvin Kamara right guard for 13 yards (tackle by Antoine Winfield and Christian Izien),1.190,2.590
1,13:04,1,10,TAM 45,0,0,Jamaal Williams right guard for -2 yards (tackle by Devin White),2.590,1.770
1,12:27,2,12,TAM 47,0,0,Derek Carr pass complete short left to Rashid Shaheed for 5 yards (tackle by Christian Izien),1.770,1.690
1,11:42,3,8,TAM 42,0,0,Derek Carr pass complete short right to Chris Olave for 11 yards (tackle by Zyon McCollum),1.690,3.510
1,11:04,1,10,TAM 31,0,0,Jamaal Williams right guard for 4 yards (tackle by Zyon McCollum),3.510,3.510
1,10:24,2,6,TAM 27,0,0,Jamaal Williams up the middle for 7 yards (tackle by Lavonte David and Devin White),3.510,4.240
1,9:44,1,10,TAM 20,0,0,Derek Carr pass complete short right to Taysom Hill for 8 yards (tackle by Kaevon Merriweather),4.240,5.040
1,9:05,2,2,TAM 12,0,0,Alvin Kamara left tackle for 3 yards (tackle by Pat O'Connor and Anthony Nelson),5.040,5.140
1,8:30,1,9,TAM 9,0,0,Alvin Kamara left guard for 6 yards (tackle by Greg Gaines and Antoine Winfield),5.140,5.530
1,7:48,2,3,TAM 3,0,0,Alvin Kamara up the middle for -1 yards (tackle by Pat O'Connor and Cam Gill),5.530,4.490
1,7:08,3,4,TAM 4,6,0,"Derek Carr pass complete short left to Juwan Johnson for 4 yards, touchdown",4.490,7.000
1,7:04,,,TAM 15,7,0,Blake Grupe kicks extra point good,0.000,0.000
1,7:04,,,NOR 35,7,0,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
1,7:04,1,10,TAM 25,7,0,Rachaad White right guard for 5 yards (tackle by Demario Davis),0.610,0.740
1,6:29,2,5,TAM 30,7,0,Baker Mayfield pass complete short middle to Cade Otton for 4 yards (tackle by Pete Werner),0.740,0.560
1,5:42,3,1,TAM 34,7,0,Rachaad White left guard for -1 yards (tackle by Pete Werner),0.560,-1.180
1,5:00,4,2,TAM 33,7,0,"Jake Camarda punts 51 yards, returned by Rashid Shaheed for 16 yards (tackle by K.J. Britt and David Moore)",-1.180,-1.070
1,4:47,1,10,NOR 32,7,0,Alvin Kamara up the middle for 3 yards (tackle by Vita Vea),1.070,0.930
1,4:13,2,7,NOR 35,7,0,Derek Carr pass complete short left to Alvin Kamara for 5 yards (tackle by Lavonte David),0.930,0.890
1,3:32,3,2,NOR 40,7,0,Derek Carr pass complete short right to Chris Olave for 1 yard (tackle by Lavonte David),0.890,-0.650
1,2:49,4,1,NOR 41,7,0,Lou Hedley punts 48 yards out of bounds,-0.650,0.370
1,2:41,1,10,TAM 11,7,0,Baker Mayfield pass incomplete short left intended for Cade Otton (defended by Isaac Yiadom),-0.370,-0.780
1,2:37,2,10,TAM 11,7,0,Rachaad White right tackle for 1 yard (tackle by Johnathan Abram),-0.780,-1.300
1,1:52,3,9,TAM 12,7,0,"Baker Mayfield sacked by Bryan Bresee for no gain. Penalty on Bryan Bresee: Face Mask (15 Yards), 15 yards (accepted) (no play)",-1.300,0.740
1,1:34,1,10,TAM 27,7,0,Rachaad White up the middle for 1 yard (tackle by Pete Werner and Bryan Bresee),0.740,0.330
1,1:08,2,9,TAM 28,7,0,Baker Mayfield pass complete short middle to Deven Thompkins for no gain (tackle by Tyrann Mathieu),0.330,-0.360
1,0:24,3,9,TAM 28,7,0,Baker Mayfield pass complete deep right to Mike Evans for 33 yards (tackle by Paulson Adebo),-0.360,2.980
Quarter,Time,Down,ToGo,Location,NOR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 39,7,0,Rachaad White up the middle for 2 yards (tackle by PJ Mustipher and Alontae Taylor),2.980,2.710
