Unnamed: 0,NOR,TAM
First Downs,20,13
Rush-Yds-TDs,35-108-0,15-57-0
Cmp-Att-Yd-TD-INT,25-34-208-2-0,22-33-309-2-2
Sacked-Yards,1-6,2-17
Net Pass Yards,202,292
Total Yards,310,349
Fumbles-Lost,0-0,2-2
Turnovers,0,4
Penalties-Yards,5-31,5-38
Third Down Conv.,8-18,2-8
Fourth Down Conv.,0-0,1-1
Time of Possession,36:38,23:22
