Quarter,Time,Tm,Detail,TAM,SDG
2.0,11:49,Chargers,Eric Parker 79 yard pass from Drew Brees (Nate Kaeding kick),0,7
,9:02,Buccaneers,Joey Galloway 36 yard pass from Brian Griese (Jay Taylor kick),7,7
,0:49,Chargers,Kassim Osgood 19 yard pass from Drew Brees (Nate Kaeding kick),7,14
3.0,4:56,Buccaneers,Joey Galloway 4 yard pass from Brian Griese (Jay Taylor kick),14,14
,0:30,Chargers,LaDainian Tomlinson 7 yard rush (Nate Kaeding kick),14,21
4.0,6:53,Buccaneers,Michael Clayton 20 yard pass from Brian Griese (Jay Taylor kick),21,21
,4:09,Chargers,Donnie Edwards 30 yard interception return (Nate Kaeding kick),21,28
,2:06,Chargers,Nate Kaeding 40 yard field goal,21,31
,0:16,Buccaneers,Jay Taylor 41 yard field goal,24,31
