Quarter,Time,Down,ToGo,Location,TAM,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Jay Taylor kicks off 68 yards, returned by Jesse Chatman for 23 yards (tackle by Ryan Nece). Penalty on Stephen Cooper: Offensive Holding, 10 yards",0.000,-0.220
1,14:54,1,10,SDG 15,0,0,LaDainian Tomlinson right tackle for 14 yards (tackle by Ian Gold),-0.220,0.870
1,14:24,1,10,SDG 29,0,0,Drew Brees pass complete to Keenan McCardell for 7 yards (tackle by Shelton Quarles),0.870,1.270
1,13:46,2,3,SDG 36,0,0,"Drew Brees pass incomplete intended for Antonio Gates. Penalty on Brian Kelly: Defensive Pass Interference, 6 yards (no play)",1.270,1.730
1,13:42,1,10,SDG 42,0,0,Drew Brees pass complete to Eric Parker for 5 yards (tackle by Shelton Quarles),1.730,1.860
1,13:06,2,5,SDG 47,0,0,LaDainian Tomlinson up the middle for 4 yards (tackle by Simeon Rice),1.860,1.690
1,12:33,3,1,TAM 49,0,0,Drew Brees up the middle for 1 yard (tackle by Chidi Ahanotu and Chartric Darby),1.690,2.390
1,12:09,1,10,TAM 48,0,0,Drew Brees pass complete to Eric Parker for 9 yards (tackle by Ronde Barber),2.390,3.060
1,11:43,2,1,TAM 39,0,0,Drew Brees pass incomplete intended for Antonio Gates,3.060,2.340
1,11:36,3,1,TAM 39,0,0,LaDainian Tomlinson up the middle for -2 yards (tackle by Simeon Rice),2.340,0.530
1,10:55,4,3,TAM 41,0,0,Mike Scifres punts 39 yards,0.530,0.380
1,10:42,1,10,TAM 2,0,0,Michael Pittman right guard for 5 yards (tackle by Stephen Cooper and Steve Foley),-0.380,-0.420
1,10:06,2,5,TAM 7,0,0,Michael Pittman right tackle for 4 yards (tackle by Randall Godfrey and Donnie Edwards),-0.420,-0.370
1,9:27,3,1,TAM 11,0,0,Brian Griese pass incomplete intended for Mike Alstott,-0.370,-2.490
1,9:22,4,1,TAM 11,0,0,"Josh Bidwell punts 31 yards. Penalty on Jerrell Pippens: Offensive Holding, 10 yards",-2.490,-2.130
1,9:12,1,10,SDG 48,0,0,LaDainian Tomlinson up the middle for 5 yards (tackle by Ian Gold),2.130,2.260
1,8:35,2,5,TAM 47,0,0,LaDainian Tomlinson left end for 2 yards (tackle by Dewayne White),2.260,1.820
1,7:52,3,3,TAM 45,0,0,Drew Brees pass complete to Antonio Gates for 17 yards (tackle by John Howell),1.820,3.710
1,7:11,1,10,TAM 28,0,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Ronde Barber),3.710,3.570
1,6:30,2,7,TAM 25,0,0,Drew Brees pass complete to LaDainian Tomlinson for 6 yards (tackle by Shelton Quarles),3.570,3.720
1,5:43,3,1,TAM 19,0,0,Drew Brees up the middle for 1 yard (tackle by Ronde Barber),3.720,4.370
1,5:08,1,10,TAM 18,0,0,Drew Brees pass incomplete intended for Justin Peelle is intercepted by Ronde Barber at TAM-0,4.370,-0.280
1,5:01,1,10,TAM 20,0,0,Brian Griese pass complete to Mike Alstott for 11 yards (tackle by Donnie Edwards),0.280,1.000
1,4:21,1,10,TAM 31,0,0,Mike Alstott up the middle for 7 yards (tackle by Ben Leber),1.000,1.410
1,3:43,2,3,TAM 38,0,0,Brian Griese pass complete to Ian Smart for 5 yards (tackle by Drayton Florence),1.410,1.800
1,3:23,1,10,TAM 43,0,0,Brian Griese pass complete to Joey Galloway for 11 yards (tackle by Drayton Florence),1.800,2.520
1,2:56,1,10,SDG 46,0,0,"Michael Pittman right tackle for no gain (tackle by Donnie Edwards and Igor Olshansky). Penalty on Sean Mahan: Offensive Holding, 10 yards (no play)",2.520,1.860
1,2:30,1,20,TAM 44,0,0,Michael Pittman right end for 1 yard (tackle by Jacques Cesaire and Terrence Kiel),1.860,0.760
1,1:50,2,19,TAM 45,0,0,Brian Griese pass complete to Ken Dilger for 6 yards (tackle by Ben Leber),0.760,0.890
1,1:26,3,13,SDG 49,0,0,Brian Griese pass incomplete intended for Mike Alstott is intercepted by Donnie Edwards at SDG-48 and returned for 4 yards (tackle by Derrick Deese),0.890,-2.390
1,1:20,1,10,TAM 48,0,0,LaDainian Tomlinson left end for 4 yards (tackle by Dewayne White and Josh Savage),2.390,2.390
1,0:39,2,6,TAM 44,0,0,Drew Brees pass complete to Eric Parker for 9 yards,2.390,3.250
1,0:04,1,10,TAM 35,0,0,Drew Brees pass complete to Eric Parker for 3 yards (tackle by Brian Kelly),3.250,3.110
Quarter,Time,Down,ToGo,Location,TAM,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,TAM 32,0,0,LaDainian Tomlinson left end for -2 yards (tackle by Shelton Quarles),3.110,2.150
2,14:17,3,9,TAM 34,0,0,Drew Brees pass complete to LaDainian Tomlinson for 1 yard (tackle by Brian Kelly),2.150,1.150
2,13:33,4,8,TAM 33,0,0,Nate Kaeding 51 yard field goal no good,1.150,-1.660
2,13:27,1,10,TAM 41,0,0,Brian Griese pass incomplete intended for Ken Dilger (defended by Donnie Edwards),1.660,1.120
2,13:20,2,10,TAM 41,0,0,Brian Griese sacked by Jason Fisk for -7 yards,1.120,-0.490
2,12:48,3,17,TAM 34,0,0,Michael Pittman left end for 4 yards (tackle by Steve Foley and DeQuincy Scott),-0.490,-0.850
2,12:14,4,13,TAM 38,0,0,"Josh Bidwell punts 51 yards, returned by Eric Parker for 10 yards (tackle by Marquis Cooper)",-0.850,-0.340
2,12:01,1,10,SDG 21,0,6,"Drew Brees pass complete to Eric Parker for 79 yards, touchdown",0.340,7.000
2,,,,TAM 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,0,7,"Nate Kaeding kicks off 65 yards, returned by Ian Smart for 14 yards (tackle by Matt Wilhelm)",0.000,0.150
2,11:44,1,10,TAM 19,0,7,"Penalty on Cosey Coleman: False Start, 5 yards (no play)",0.150,-0.390
2,11:44,1,15,TAM 14,0,7,Michael Pittman up the middle for 2 yards (tackle by Adrian Dingle and Jason Fisk),-0.390,-0.870
2,11:08,2,13,TAM 16,0,7,Brian Griese pass complete to Joey Galloway for 7 yards (tackle by Shaun Phillips),-0.870,-0.550
2,10:29,3,6,TAM 23,0,7,Brian Griese pass complete to Michael Clayton for 18 yards (tackle by Clinton Hart),-0.550,1.660
2,9:46,1,10,TAM 41,0,7,Brian Griese pass complete to Michael Pittman for 23 yards (tackle by Terrence Kiel),1.660,3.180
2,9:10,1,10,SDG 36,6,7,"Brian Griese pass complete to Joey Galloway for 36 yards, touchdown",3.180,7.000
2,,,,SDG 2,7,7,Jay Taylor kicks extra point good,0.000,0.000
2,,,,TAM 30,7,7,"Jay Taylor kicks off 55 yards, returned by Lorenzo Neal for 12 yards (tackle by Jameel Cook)",0.000,0.740
2,8:57,1,10,SDG 27,7,7,Drew Brees pass incomplete intended for Keenan McCardell is intercepted by Will Allen at TAM-49,0.740,-2.190
2,8:51,1,10,TAM 49,7,7,Brian Griese pass incomplete intended for Michael Pittman,2.190,1.650
2,8:44,2,10,TAM 49,7,7,Brian Griese pass complete to Michael Clayton for 17 yards (tackle by Terrence Kiel),1.650,3.310
2,8:07,1,10,SDG 34,7,7,Michael Pittman up the middle for 11 yards (tackle by Quentin Jammer and Randall Godfrey),3.310,4.040
2,7:31,1,10,SDG 23,7,7,Earnest Graham up the middle for 6 yards (tackle by Donnie Edwards and Jamal Williams),4.040,4.380
2,6:54,2,4,SDG 17,7,7,"Mike Alstott right end for 1 yard (tackle by Stephen Cooper). Penalty on Will Heller: Offensive Holding, 10 yards",4.380,3.090
2,6:41,2,13,SDG 26,7,7,Brian Griese pass complete to Michael Pittman for 6 yards (tackle by Randall Godfrey),3.090,3.200
2,6:08,3,7,SDG 20,7,7,Brian Griese pass complete to Michael Clayton for 13 yards (tackle by Donnie Edwards),3.200,5.600
2,5:17,1,7,SDG 7,7,7,Mike Alstott up the middle for 2 yards (tackle by Terrence Kiel),5.600,5.150
2,4:38,2,5,SDG 5,7,7,Brian Griese pass incomplete intended for Michael Clayton,5.150,4.260
2,4:31,,,,7,7,Timeout #1 by Tampa Bay Buccaneers,0.000,4.260
