Unnamed: 0,NYJ,JAX
First Downs,15,21
Rush-Yds-TDs,14-46-0,34-111-0
Cmp-Att-Yd-TD-INT,21-30-218-2-3,22-34-279-3-0
Sacked-Yards,8-51,2-1
Net Pass Yards,167,278
Total Yards,213,389
Fumbles-Lost,1-0,3-1
Turnovers,3,1
Penalties-Yards,10-83,9-70
Third Down Conv.,2-9,8-17
Fourth Down Conv.,1-2,0-1
Time of Possession,26:39,33:21
