Quarter,Time,Tm,Detail,MIA,BUF
1.0,8:07,Dolphins,Jason Sanders 49 yard field goal,3,0
2.0,12:09,Bills,Isaiah McKenzie 7 yard pass from Josh Allen (Tyler Bass kick),3,7
,6:56,Bills,Isaiah McKenzie 14 yard pass from Josh Allen (Tyler Bass kick),3,14
,5:22,Bills,Isaiah McKenzie 84 yard punt return (Tyler Bass kick),3,21
,1:44,Dolphins,Jason Sanders 32 yard field goal,6,21
,1:00,Bills,John Brown 32 yard pass from Josh Allen (Tyler Bass kick),6,28
3.0,11:08,Dolphins,Myles Gaskin 1 yard rush (Jason Sanders kick),13,28
,8:20,Bills,Josh Norman 16 yard interception return (Tyler Bass kick),13,35
4.0,13:44,Bills,Antonio Williams 18 yard rush (Tyler Bass kick),13,42
,11:55,Bills,Antonio Williams 2 yard rush (Tyler Bass kick),13,49
,8:40,Dolphins,Salvon Ahmed 16 yard rush (pass failed),19,49
,6:18,Bills,Gabriel Davis 56 yard pass from Matt Barkley (Tyler Bass kick),19,56
,2:47,Dolphins,Malcolm Perry 25 yard pass from Tua Tagovailoa (Jason Sanders kick),26,56
