Unnamed: 0,MIA,BUF
First Downs,27,24
Rush-Yds-TDs,20-70-2,25-78-2
Cmp-Att-Yd-TD-INT,36-59-393-1-3,24-38-388-4-2
Sacked-Yards,1-9,1-11
Net Pass Yards,384,377
Total Yards,454,455
Fumbles-Lost,2-1,0-0
Turnovers,4,2
Penalties-Yards,2-20,3-16
Third Down Conv.,3-14,4-10
Fourth Down Conv.,1-2,0-0
Time of Possession,32:38,27:22
