Quarter,Time,Tm,Detail,OAK,HOU
1.0,9:26,Raiders,Denarius Moore 5 yard pass from Matt McGloin (Sebastian Janikowski kick),7,0
,3:45,Raiders,Rod Streater 16 yard pass from Matt McGloin (Sebastian Janikowski kick),14,0
2.0,11:52,Texans,Garrett Graham 42 yard pass from Case Keenum (Randy Bullock kick),14,7
,2:54,Texans,Keshawn Martin 87 yard punt return (Randy Bullock kick),14,14
,0:40,Texans,Randy Bullock 51 yard field goal,14,17
3.0,8:13,Raiders,Mychal Rivera 26 yard pass from Matt McGloin (Sebastian Janikowski kick),21,17
,2:26,Raiders,Rashad Jennings 80 yard rush (Sebastian Janikowski kick),28,17
4.0,12:13,Texans,Randy Bullock 26 yard field goal,28,20
,8:02,Texans,Randy Bullock 30 yard field goal,28,23
