Unnamed: 0,KAN,MIA
First Downs,23,18
Rush-Yds-TDs,41-174-2,20-141-0
Cmp-Att-Yd-TD-INT,19-25-186-3-0,21-43-205-1-0
Sacked-Yards,5-18,4-14
Net Pass Yards,168,191
Total Yards,342,332
Fumbles-Lost,4-2,1-0
Turnovers,2,0
Penalties-Yards,4-23,6-65
Third Down Conv.,9-16,4-15
Fourth Down Conv.,1-1,0-2
Time of Possession,33:42,26:18
