Quarter,Time,Tm,Detail,KAN,MIA
2.0,6:38,Chiefs,Knile Davis 21 yard rush (Cairo Santos kick),7,0
,1:35,Chiefs,Travis Kelce 20 yard pass from Alex Smith (Cairo Santos kick),14,0
,0:00,Dolphins,Caleb Sturgis 22 yard field goal,14,3
3.0,12:07,Dolphins,Brian Hartline 1 yard pass from Ryan Tannehill (Caleb Sturgis kick),14,10
,6:36,Chiefs,Joe McKnight 11 yard pass from Alex Smith (Cairo Santos kick),21,10
,5:54,Dolphins,Caleb Sturgis 51 yard field goal,21,13
,2:38,Dolphins,"Safety, Alex Smith sacked in the end zone by Randy Starks and Jelani Jenkins.",21,15
4.0,4:35,Chiefs,Joe McKnight 4 yard pass from Alex Smith (pass failed),27,15
,0:13,Chiefs,Cyrus Gray 6 yard rush (Cairo Santos kick),34,15
