Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
1,3:08,4,16,MIN 30,9,0,"Britton Colquitt punts 49 yards, returned by Keelan Cole for no gain (tackle by Ryan Connelly). Penalty on Joe Giles-Harris: Offensive Holding, 10 yards",-1.370,0.370
1,2:56,1,10,JAX 11,9,0,Laviska Shenault left end for 13 yards (tackle by Todd Davis),-0.370,0.540
1,2:17,1,10,JAX 24,9,0,James Robinson up the middle for 4 yards (tackle by Hercules Mata'afa and Todd Davis),0.540,0.540
1,1:41,2,6,JAX 28,9,0,Mike Glennon pass complete short right to James O'Shaughnessy for 4 yards (tackle by Jeff Gladney),0.540,0.370
1,0:59,3,2,JAX 32,9,0,"Penalty on James Robinson: False Start, 5 yards (no play)",0.370,-0.300
1,0:38,3,7,JAX 27,9,0,Mike Glennon pass incomplete short right intended for DJ Chark,-0.300,-1.570
1,0:33,4,7,JAX 27,9,0,"Logan Cooke punts 59 yards, returned by K.J. Osborn for 7 yards (tackle by Dare Ogunbowale)",-1.570,-0.340
1,0:22,1,10,MIN 21,9,0,Kirk Cousins pass complete short right to Justin Jefferson for 7 yards (tackle by Josh Jones),0.340,0.750
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,MIN 28,9,0,Dalvin Cook left end for 1 yard (tackle by Doug Costin and Myles Jack),0.750,0.170
2,14:22,3,2,MIN 29,9,0,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Greg Mabin),0.170,-1.440
2,14:17,4,2,MIN 29,9,0,Britton Colquitt punts 46 yards downed by Kris Boyd,-1.440,-0.610
2,14:06,1,10,JAX 25,9,0,James Robinson left guard for 3 yards (tackle by Jaleel Johnson and Todd Davis),0.610,0.470
2,13:27,2,7,JAX 28,9,0,Mike Glennon pass complete short left to Laviska Shenault for 7 yards (tackle by Harrison Smith and Eric Wilson),0.470,1.270
2,12:50,1,10,JAX 35,9,0,Mike Glennon pass incomplete deep left intended for DJ Chark,1.270,0.720
2,12:44,2,10,JAX 35,9,0,Mike Glennon pass complete short right to Collin Johnson for 6 yards (tackle by Harrison Smith),0.720,0.830
2,12:03,3,4,JAX 41,9,0,Mike Glennon pass complete short left to Tyler Eifert for 6 yards (tackle by Chris Jones),0.830,2.060
2,11:24,1,10,JAX 47,9,0,James Robinson right end for 3 yards (tackle by Todd Davis and Armon Watts),2.060,1.920
2,10:43,2,7,JAX 50,9,0,Laviska Shenault right end for 17 yards (tackle by Anthony Harris),1.920,3.380
2,10:02,1,10,MIN 33,9,0,"Penalty on Jawaan Taylor: False Start, 5 yards (no play)",3.380,3.050
2,9:38,1,15,MIN 38,9,0,Dare Ogunbowale left end for 4 yards (tackle by Eddie Yarbrough),3.050,2.700
2,8:58,2,11,MIN 34,9,0,Mike Glennon pass incomplete short left intended for Dare Ogunbowale,2.700,2.010
2,8:55,3,11,MIN 34,9,0,Mike Glennon pass complete short right to Tyler Eifert for 13 yards (tackle by Eric Wilson),2.010,4.170
2,8:16,1,10,MIN 21,9,0,"James Robinson right tackle for 5 yards (tackle by Anthony Harris and Chris Jones). Penalty on Laviska Shenault: Illegal Shift, 5 yards (no play)",4.170,3.840
2,7:46,1,15,MIN 26,9,0,Mike Glennon pass short left intended for Eric Saubert is intercepted by Cameron Dantzler at MIN-22 and returned for no gain,3.840,-0.410
2,7:40,1,10,MIN 22,9,0,Dalvin Cook left tackle for 4 yards (tackle by Josh Jones),0.410,0.410
2,7:12,2,6,MIN 26,9,0,Kirk Cousins pass complete short right to Adam Thielen for 14 yards (tackle by Greg Mabin),0.410,1.600
2,6:41,1,10,MIN 40,9,0,Dalvin Cook right tackle for 4 yards (tackle by Doug Costin and Joe Giles-Harris),1.600,1.590
2,6:07,2,6,MIN 44,9,0,Kirk Cousins pass complete short right to Dalvin Cook for 11 yards (tackle by Joe Giles-Harris),1.590,2.590
2,5:27,1,10,JAX 45,9,0,Kirk Cousins left end for 10 yards (tackle by Greg Mabin),2.590,3.250
2,4:47,1,10,JAX 35,9,0,Kirk Cousins pass complete short right to Adam Thielen for 12 yards (tackle by Greg Mabin),3.250,4.040
2,4:16,1,10,JAX 23,9,0,Kirk Cousins pass incomplete deep left intended for Kyle Rudolph,4.040,3.500
2,4:10,2,10,JAX 23,9,0,Kirk Cousins pass complete short middle to Dalvin Cook for 20 yards (tackle by Myles Jack),3.500,6.510
2,3:37,1,3,JAX 3,9,0,Dalvin Cook left tackle for no gain (tackle by Joe Giles-Harris and Josh Jones),6.510,5.530
2,2:56,2,3,JAX 3,9,6,"Kirk Cousins pass complete short left to Adam Thielen for 3 yards, touchdown",5.530,7.000
2,2:50,,,JAX 15,9,6,Dan Bailey kicks extra point no good wide left,0.000,-1.000
2,2:50,,,MIN 35,9,6,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,2:50,1,10,JAX 25,9,6,Mike Glennon pass incomplete short middle intended for Dare Ogunbowale,0.610,0.060
2,2:46,2,10,JAX 25,9,6,Mike Glennon pass complete short right to James Robinson for 6 yards (tackle by Todd Davis),0.060,0.170
2,2:00,3,4,JAX 31,9,6,Mike Glennon pass complete short left to Laviska Shenault for 3 yards (tackle by Ifeadi Odenigbo and Eric Wilson),0.170,-1.110
2,1:54,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:54,4,1,JAX 34,9,6,"Logan Cooke punts 48 yards, returned by K.J. Osborn for 8 yards (tackle by Brandon Watson)",-1.110,-0.670
2,1:45,1,10,MIN 26,9,6,Dalvin Cook left guard for 2 yards (tackle by Caraun Reid and Joe Schobert),0.670,0.400
2,1:28,2,8,MIN 28,9,6,"Penalty on Dawuane Smoot: Neutral Zone Infraction, 5 yards (no play)",0.400,1.070
2,1:28,2,3,MIN 33,9,6,Kirk Cousins pass complete short left to Dalvin Cook for 5 yards (tackle by Tre Herndon),1.070,1.470
2,1:14,1,10,MIN 38,9,6,Kirk Cousins pass complete short left to Dalvin Cook for 1 yard (tackle by Tre Herndon),1.470,1.060
2,1:05,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:05,2,9,MIN 39,9,6,"Penalty on Tyler Conklin: False Start, 5 yards (no play)",1.060,0.380
2,1:05,2,14,MIN 34,9,6,Kirk Cousins pass complete short left to Chad Beebe for 5 yards (tackle by Tre Herndon),0.380,0.370
2,1:00,3,9,MIN 39,9,6,Kirk Cousins sacked by Joe Schobert for -7 yards,0.370,-1.240
2,0:56,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:56,4,16,MIN 32,9,6,"Britton Colquitt punts 45 yards, fair catch by Keelan Cole at JAC-23",-1.240,-0.480
2,0:49,1,10,JAX 23,9,6,Mike Glennon pass complete short right to Tyler Eifert for 4 yards (tackle by Chris Jones),0.480,0.470
2,0:43,2,6,JAX 27,9,6,Mike Glennon pass complete short left to James Robinson for 5 yards (tackle by Cameron Dantzler),0.470,0.430
2,0:35,3,1,JAX 32,9,6,Mike Glennon pass incomplete short middle intended for DJ Chark (defended by Harrison Smith),0.430,-1.240
2,0:31,4,1,JAX 32,9,6,Logan Cooke punts 47 yards,-1.240,-0.340
2,0:18,1,10,MIN 21,9,6,Kirk Cousins pass incomplete short right intended for Chad Beebe (defended by Aaron Lynch),0.340,-0.200
2,0:15,2,10,MIN 21,9,6,Ameer Abdullah right guard for 4 yards (tackle by Caraun Reid),-0.200,-0.360
2,0:10,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:10,3,6,MIN 25,9,6,Ameer Abdullah right tackle for 7 yards (tackle by K'Lavon Chaisson),-0.360,1.070
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,9,6,"Logan Cooke kicks off 25 yards, out of bounds",0.000,1.600
3,15:00,1,10,MIN 40,15,6,"Kirk Cousins pass short middle intended for Dalvin Cook is intercepted by Joe Schobert at MIN-43 and returned for 43 yards, touchdown",1.600,-7.000
3,14:50,,,MIN 15,16,6,Chase McLaughlin kicks extra point good,0.000,0.000
3,14:50,,,JAX 35,16,6,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,14:50,1,10,MIN 25,16,6,Dalvin Cook left tackle for 1 yard (tackle by Joe Schobert),0.610,0.200
3,14:21,2,9,MIN 26,16,6,Kirk Cousins pass complete short right to Dalvin Cook for 10 yards (tackle by Myles Jack),0.200,1.330
3,13:49,1,10,MIN 36,16,6,Dalvin Cook left end for no gain (tackle by Doug Costin and Joe Schobert),1.330,0.790
3,13:14,2,10,MIN 36,16,6,Kirk Cousins pass incomplete short right intended for Dalvin Cook,0.790,0.100
3,13:10,3,10,MIN 36,16,6,Kirk Cousins pass complete short right to Adam Thielen for 11 yards (tackle by Luq Barcoo),0.100,2.060
3,12:32,1,10,MIN 47,16,6,"Mike Boone up the middle for 3 yards (tackle by Adam Gotsis). Penalty on Brian O'Neill: Offensive Holding, 10 yards (no play)",2.060,1.400
3,12:13,1,20,MIN 37,16,6,Kirk Cousins pass complete short right to Justin Jefferson for 11 yards (tackle by Luq Barcoo),1.400,1.650
3,11:41,2,9,MIN 48,16,6,Kirk Cousins pass complete deep right to Justin Jefferson for 40 yards (tackle by Luq Barcoo). Penalty on Luq Barcoo: Defensive Pass Interference (Declined),1.650,4.780
3,11:15,1,10,JAX 12,16,12,"Kirk Cousins pass complete short left to C.J. Ham for 12 yards, touchdown",4.780,7.000
3,11:08,,,JAX 15,16,13,Dan Bailey kicks extra point good,0.000,0.000
3,11:08,,,MIN 35,16,13,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,11:08,1,10,JAX 25,16,13,James Robinson right end for 5 yards (tackle by Harrison Smith),0.610,0.740
3,10:28,,,,,,Timeout #1 by Jacksonville Jaguars,,
3,10:28,2,5,JAX 30,16,13,Mike Glennon pass complete short right to James Robinson for 6 yards (tackle by Kris Boyd),0.740,1.330
3,9:47,1,10,JAX 36,16,13,James Robinson left end for 6 yards (tackle by Cameron Dantzler),1.330,1.600
3,9:23,2,4,JAX 42,16,13,Mike Glennon pass complete short right to James O'Shaughnessy for 6 yards (tackle by Jeff Gladney and Eric Wilson),1.600,2.130
3,8:47,1,10,JAX 48,16,13,James Robinson up the middle for 2 yards (tackle by Shamar Stephen and Eddie Yarbrough),2.130,1.850
3,8:09,2,8,JAX 50,16,13,Mike Glennon pass incomplete deep right intended for Collin Johnson,1.850,1.160
3,8:04,3,8,JAX 50,16,13,Mike Glennon sacked by and Harrison Smith for -10 yards and Hercules Mata'afa for -10 yards,1.160,-0.720
3,7:26,4,18,JAX 40,16,13,"Logan Cooke punts 60 yards, touchback.. Penalty on Kris Boyd: Illegal Block Above the Waist, 10 yards",-0.720,0.380
3,7:17,1,10,MIN 10,16,13,Dalvin Cook right end for 10 yards (tackle by Josh Jones),-0.380,0.280
3,6:50,1,10,MIN 20,16,13,Kirk Cousins pass complete short left to Adam Thielen for 9 yards (tackle by Myles Jack),0.280,0.950
3,6:12,2,1,MIN 29,16,13,Kirk Cousins up the middle for 2 yards (tackle by Caraun Reid),0.950,1.000
3,5:38,1,10,MIN 31,16,13,"Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Tre Herndon). Penalty on Josh Jones: Roughing the Passer, 15 yards (no play)",1.000,1.990
3,5:31,1,10,MIN 46,16,13,Dalvin Cook left end for 1 yard (tackle by Joe Schobert),1.990,1.590
3,4:58,2,9,MIN 47,16,13,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Doug Costin),1.590,0.890
3,4:53,3,9,MIN 47,16,13,Kirk Cousins pass complete short middle to Adam Thielen for 12 yards (tackle by Josh Jones),0.890,2.850
3,4:14,1,10,JAX 41,16,13,Dalvin Cook right end for 3 yards (tackle by Doug Costin and Myles Jack),2.850,2.710
3,3:40,2,7,JAX 38,16,13,"Kirk Cousins pass incomplete deep right intended for Justin Jefferson. Penalty on Luq Barcoo: Defensive Pass Interference, 18 yards (no play)",2.710,4.240
3,3:34,1,10,JAX 20,16,19,"Kirk Cousins pass complete deep right to Justin Jefferson for 20 yards, touchdown",4.240,7.000
3,3:27,,,JAX 15,16,19,Dan Bailey kicks extra point no good wide right,0.000,-1.000
3,3:27,,,MIN 35,16,19,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,3:27,1,10,JAX 25,16,19,Mike Glennon pass incomplete deep left intended for Collin Johnson,0.610,0.060
3,3:22,2,10,JAX 25,16,19,Mike Glennon pass complete short right to Collin Johnson for 5 yards (tackle by Kris Boyd),0.060,0.040
3,2:43,3,5,JAX 30,16,19,"Mike Glennon right end for 2 yards (tackle by Jordan Brailford). Mike Glennon fumbles (forced by Jordan Brailford), recovered by Jordan Brailford at JAC-34",0.040,-3.310
3,2:24,1,10,JAX 34,16,19,Kirk Cousins pass incomplete short right,3.310,2.770
3,2:19,2,10,JAX 34,16,19,Dalvin Cook right end for 12 yards (tackle by Jarrod Wilson),2.770,4.110
3,1:50,1,10,JAX 22,16,19,Kirk Cousins pass complete short right to Adam Thielen for 5 yards (tackle by Luq Barcoo),4.110,4.290
3,1:16,2,5,JAX 17,16,19,Dalvin Cook left guard for 6 yards (tackle by Joe Giles-Harris),4.290,4.840
3,0:38,1,10,JAX 11,16,19,Dalvin Cook up the middle for 10 yards (tackle by Joe Schobert and Jarrod Wilson),4.840,6.970
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,1,JAX 1,16,19,"Kirk Cousins aborted snap, recovered by Myles Jack at JAC-2",6.970,0.380
4,14:55,1,10,JAX 2,16,19,James Robinson up the middle for 3 yards (tackle by Jeff Gladney),-0.380,-0.560
4,14:33,2,7,JAX 5,16,19,James Robinson left end for -1 yards (tackle by Anthony Harris),-0.560,-1.190
4,14:15,3,8,JAX 4,16,21,"Mike Glennon sacked by Ifeadi Odenigbo for -4 yards, safety.",-1.190,-2.000
4,14:11,,,JAX 20,16,21,"Logan Cooke kicks off 56 yards, returned by K.J. Osborn for 14 yards (tackle by Quincy Williams and Doug Middleton)",0.000,1.470
4,14:05,1,10,MIN 38,16,21,Dalvin Cook up the middle for 3 yards (tackle by Dawuane Smoot),1.470,1.330
4,13:29,2,7,MIN 41,16,21,Dalvin Cook up the middle for no gain (tackle by Myles Jack),1.330,0.630
4,12:52,3,7,MIN 41,16,21,Kirk Cousins pass complete short left to Justin Jefferson for 14 yards (tackle by Josh Jones),0.630,2.590
4,12:14,1,10,JAX 45,16,21,Dalvin Cook left guard for 1 yard (tackle by K'Lavon Chaisson and Myles Jack),2.590,2.180
4,11:34,2,9,JAX 44,16,21,Kirk Cousins pass complete short left to Justin Jefferson for 4 yards (tackle by Tre Herndon),2.180,2.010
4,10:50,3,5,JAX 40,16,21,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,2.010,0.590
4,10:45,4,5,JAX 40,16,21,"Britton Colquitt punts 40 yards, touchback.",0.590,-0.280
4,10:32,1,10,JAX 20,16,21,James Robinson left end for 2 yards (tackle by Harrison Hand),0.280,0.000
4,9:58,2,8,JAX 22,16,21,Mike Glennon pass incomplete short middle intended for James O'Shaughnessy (defended by Eric Wilson),0.000,-0.690
4,9:51,3,8,JAX 22,16,21,Mike Glennon pass complete short left to Tyler Eifert for 6 yards (tackle by Kris Boyd and Todd Davis),-0.690,-1.500
4,9:13,4,2,JAX 28,16,21,"Logan Cooke punts 44 yards, returned by K.J. Osborn for 6 yards (tackle by Quincy Williams and Ross Matiscik). K.J. Osborn fumbles (forced by Quincy Williams), recovered by K.J. Osborn at MIN-34",-1.500,-1.200
4,9:02,1,10,MIN 34,16,21,Dalvin Cook up the middle for 1 yard (tackle by Daniel Ekuale),1.200,0.790
4,8:23,2,9,MIN 35,16,21,Kirk Cousins sacked by Daniel Ekuale for -9 yards,0.790,-1.090
4,7:41,3,18,MIN 26,16,21,Dalvin Cook up the middle for 7 yards (tackle by Aaron Lynch),-1.090,-1.180
4,7:08,4,11,MIN 33,16,21,"Britton Colquitt punts 49 yards, fair catch by Keelan Cole at JAC-18",-1.180,-0.040
4,7:01,1,10,JAX 18,16,21,Mike Glennon pass complete deep left to DJ Chark for 19 yards (tackle by Eric Wilson and Kris Boyd),0.040,1.400
4,6:26,1,10,JAX 37,16,21,Mike Glennon up the middle for 4 yards (tackle by Eric Wilson),1.400,1.400
4,5:39,2,6,JAX 41,16,21,"Mike Glennon pass complete short right to Chris Conley for 3 yards (tackle by Cameron Dantzler). Chris Conley fumbles (forced by Cameron Dantzler), recovered by Cameron Dantzler at JAC-44 (tackle by James O'Shaughnessy)",1.400,-2.650
4,5:29,1,10,JAX 44,16,21,Kirk Cousins pass complete short right to Justin Jefferson for 11 yards (tackle by Tre Herndon),2.650,3.380
4,4:49,1,10,JAX 33,16,21,Dalvin Cook left tackle for 3 yards (tackle by Joe Schobert and Myles Jack),3.380,3.240
4,4:08,2,7,JAX 30,16,21,Kirk Cousins pass incomplete short right,3.240,2.540
4,4:01,3,7,JAX 30,16,21,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Tre Herndon),2.540,1.410
4,3:55,4,7,JAX 30,16,24,Dan Bailey 48 yard field goal good,1.410,3.000
4,3:50,,,MIN 35,16,24,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
4,3:50,1,10,JAX 25,16,24,Mike Glennon pass complete short middle to Keelan Cole for 7 yards (tackle by Eric Wilson),0.610,1.010
4,3:29,2,3,JAX 32,16,24,Mike Glennon pass complete short left to James Robinson for 4 yards (tackle by Anthony Harris and Eric Wilson),1.010,1.330
4,2:56,1,10,JAX 36,16,24,Mike Glennon pass complete short right to Tyler Eifert for 10 yards (tackle by Cameron Dantzler and Todd Davis),1.330,1.990
4,2:29,1,10,JAX 46,16,24,Mike Glennon pass incomplete deep right intended for DJ Chark,1.990,1.450
4,2:23,2,10,JAX 46,16,24,Mike Glennon pass complete short left to Chris Conley for 9 yards (tackle by Kris Boyd and Todd Davis),1.450,1.950
4,2:00,3,1,MIN 45,16,24,"Penalty on Jawaan Taylor: False Start, 5 yards (no play)",1.950,1.290
4,2:00,3,6,JAX 50,16,24,Mike Glennon pass complete deep left to DJ Chark for 22 yards (tackle by Harrison Hand),1.290,3.710
4,1:53,1,10,MIN 28,16,24,Mike Glennon left end for 3 yards (tackle by Hercules Mata'afa),3.710,3.570
4,1:46,2,7,MIN 25,16,24,Mike Glennon pass complete deep right to Collin Johnson for 21 yards (tackle by Harrison Smith),3.570,6.280
4,1:18,1,4,MIN 4,16,24,Dare Ogunbowale up the middle for 3 yards (tackle by Jordan Brailford),6.280,5.910
4,1:12,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:12,2,1,MIN 1,22,24,"James Robinson right guard for 1 yard, touchdown",5.910,7.000
4,1:08,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:08,,,MIN 2,24,24,"Two Point Attempt: Mike Glennon pass complete to Collin Johnson, conversion succeeds",1.000,1.000
4,1:08,,,JAX 35,24,24,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
4,1:08,1,10,MIN 25,24,24,Dalvin Cook right end for 4 yards (tackle by Joe Schobert and Josiah Scott),0.610,0.600
4,1:03,2,6,MIN 29,24,24,Kirk Cousins pass complete short left to Chad Beebe for 5 yards (tackle by Tre Herndon),0.600,0.560
4,0:58,3,1,MIN 34,24,24,Dalvin Cook up the middle for 6 yards (tackle by Jarrod Wilson),0.560,1.600
4,0:53,,,,,,Timeout #2 by Minnesota Vikings,,
4,0:53,1,10,MIN 40,24,24,Kirk Cousins pass complete short middle to Ameer Abdullah for 18 yards (tackle by Josiah Scott),1.600,2.790
4,0:34,1,10,JAX 42,24,24,Kirk Cousins pass incomplete short left,2.790,2.240
4,0:29,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,0:29,2,10,JAX 42,24,24,Kirk Cousins pass complete short right to Justin Jefferson for 9 yards (tackle by Luq Barcoo),2.240,2.740
4,0:23,,,,,,Timeout #3 by Minnesota Vikings,,
4,0:23,3,1,JAX 33,24,24,Kirk Cousins pass incomplete deep right intended for Adam Thielen (defended by Luq Barcoo),2.740,1.210
4,0:18,4,1,JAX 33,24,24,Dan Bailey 51 yard field goal no good,1.210,-1.660
4,0:13,1,10,JAX 41,24,24,James Robinson up the middle for 15 yards (tackle by Todd Davis),1.660,2.650
4,0:02,1,10,MIN 44,24,24,Mike Glennon spiked the ball,2.650,2.110
4,0:01,2,10,MIN 44,24,24,Chase McLaughlin 62 yard field goal no good,2.110,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
,,,,,,,"Vikings won the coin toss, Vikings to receive the overtime kickoff.",,
OT,10:00,,,JAX 35,24,24,"Logan Cooke kicks off 65 yards, returned by Ameer Abdullah for 24 yards (tackle by Shaquille Quarterman and Nathan Cottrell)",0.000,0.540
OT,9:56,1,10,MIN 24,24,24,Kirk Cousins sacked by Dawuane Smoot for -9 yards,0.540,-1.350
OT,9:17,2,19,MIN 15,24,24,Kirk Cousins pass incomplete short middle intended for Kyle Rudolph (defended by Joe Schobert),-1.350,-2.250
OT,9:13,,,,,,Timeout #1 by Minnesota Vikings,,
OT,9:13,3,19,MIN 15,24,24,"Kirk Cousins pass complete deep left to Justin Jefferson for 47 yards (tackle by Jarrod Wilson). Penalty on Justin Jefferson: Offensive Pass Interference, 7 yards (no play)",-2.250,-3.290
OT,8:52,3,26,MIN 8,24,24,Kirk Cousins pass complete short right to Dalvin Cook for 12 yards (tackle by Josiah Scott),-3.290,-2.030
OT,8:16,4,14,MIN 20,24,24,"Britton Colquitt punts 52 yards, returned by Keelan Cole for no gain (tackle by Dan Chisena). Penalty on Brandon Watson: Offensive Holding, 10 yards",-2.030,-0.040
OT,8:06,1,10,JAX 18,24,24,Mike Glennon pass incomplete short right intended for James O'Shaughnessy (defended by Anthony Harris),0.040,-0.490
OT,8:01,2,10,JAX 18,24,24,James Robinson left end for 2 yards (tackle by Kris Boyd and Harrison Hand),-0.490,-0.910
OT,7:19,3,8,JAX 20,24,24,Mike Glennon pass deep middle intended for DJ Chark is intercepted by Harrison Smith at JAC-46 and returned for no gain,-0.910,-2.520
OT,7:13,1,10,JAX 46,24,24,Kirk Cousins pass complete short left to Adam Thielen for 9 yards (tackle by Jarrod Wilson),2.520,3.190
OT,6:41,2,1,JAX 37,24,24,"Kirk Cousins pass incomplete short right intended for Tyler Conklin (defended by Josh Jones). Penalty on Justin Jefferson: Offensive Offside, 5 yards (no play)",3.190,2.520
OT,6:35,2,6,JAX 42,24,24,Kirk Cousins pass complete short middle to Tyler Conklin for 10 yards (tackle by Josh Jones),2.520,3.450
OT,5:57,1,10,JAX 32,24,24,Dalvin Cook right guard for 5 yards (tackle by Josh Jones and Joe Giles-Harris),3.450,3.580
OT,5:21,2,5,JAX 27,24,24,Dalvin Cook left end for -1 yards (tackle by Joe Schobert and Myles Jack),3.580,2.740
OT,4:38,3,6,JAX 28,24,24,Dalvin Cook up the middle for 10 yards (tackle by Josh Jones),2.740,4.370
OT,4:03,1,10,JAX 18,24,24,Dalvin Cook up the middle for 4 yards (tackle by Tre Herndon and Joe Schobert),4.370,4.430
OT,3:28,2,6,JAX 14,24,24,Dalvin Cook right end for 3 yards (tackle by Doug Costin),4.430,4.260
OT,3:03,,,,,,Timeout #2 by Minnesota Vikings,,
