Unnamed: 0,JAX,MIN
First Downs,20,30
Rush-Yds-TDs,25-124-1,38-145-0
Cmp-Att-Yd-TD-INT,28-42-280-1-2,28-43-305-3-1
Sacked-Yards,2-14,4-30
Net Pass Yards,266,275
Total Yards,390,420
Fumbles-Lost,2-2,2-1
Turnovers,4,2
Penalties-Yards,10-83,6-41
Third Down Conv.,4-13,7-16
Fourth Down Conv.,0-0,0-0
Time of Possession,30:38,37:33
