Unnamed: 0,DAL,NWE
First Downs,21,25
Rush-Yds-TDs,24-77-0,25-101-0
Cmp-Att-Yd-TD-INT,27-41-317-1-1,27-41-289-2-2
Sacked-Yards,2-17,3-19
Net Pass Yards,300,270
Total Yards,377,371
Fumbles-Lost,1-1,2-2
Turnovers,2,4
Penalties-Yards,10-77,5-35
Third Down Conv.,4-12,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:49,27:11
