Quarter,Time,Tm,Detail,ARI,CIN
1.0,8:28,Bengals,Randy Bullock 23 yard field goal,0,3
,3:40,Cardinals,Kyler Murray 6 yard rush (Zane Gonzalez kick),7,3
2.0,5:09,Cardinals,Zane Gonzalez 23 yard field goal,10,3
,3:27,Bengals,Randy Bullock 48 yard field goal,10,6
,0:00,Cardinals,Zane Gonzalez 20 yard field goal,13,6
3.0,8:34,Bengals,Randy Bullock 23 yard field goal,13,9
4.0,13:25,Cardinals,Zane Gonzalez 22 yard field goal,16,9
,7:13,Cardinals,Chase Edmonds 37 yard rush (Zane Gonzalez kick),23,9
,4:08,Bengals,Auden Tate 2 yard pass from Andy Dalton (Randy Bullock kick),23,16
,2:00,Bengals,Tyler Boyd 42 yard pass from Andy Dalton (Randy Bullock kick),23,23
,0:00,Cardinals,Zane Gonzalez 31 yard field goal,26,23
