Unnamed: 0,ARI,CIN
First Downs,26,21
Rush-Yds-TDs,38-266-2,23-108-0
Cmp-Att-Yd-TD-INT,20-32-253-0-0,27-38-262-2-0
Sacked-Yards,1-5,1-0
Net Pass Yards,248,262
Total Yards,514,370
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,12-96,7-60
Third Down Conv.,6-13,5-12
Fourth Down Conv.,1-1,0-1
Time of Possession,31:03,28:57
