Quarter,Time,Tm,Detail,CAR,NYJ
1.0,8:48,Jets,Darrelle Revis 67 yard interception return (Jay Feely kick),0,7
2.0,10:11,Panthers,John Kasay 40 yard field goal,3,7
,0:28,Jets,Thomas Jones 3 yard rush (Jay Feely kick),3,14
4.0,11:45,Panthers,John Kasay 28 yard field goal,6,14
,3:39,Jets,Jay Feely 47 yard field goal,6,17
