Quarter,Time,Tm,Detail,PHI,NWE
1.0,7:42,Eagles,Jake Elliott 32 yard field goal,3,0
,4:56,Eagles,Darius Slay 70 yard interception return (Jake Elliott kick),10,0
,2:39,Eagles,DeVonta Smith 5 yard pass from Jalen Hurts (Jake Elliott kick failed),16,0
2.0,4:34,Patriots,Hunter Henry 9 yard pass from Mac Jones (Chad Ryland kick),16,7
,0:25,Patriots,Kendrick Bourne 19 yard pass from Mac Jones (Chad Ryland kick),16,14
3.0,8:48,Eagles,Jake Elliott 56 yard field goal,19,14
4.0,13:21,Eagles,Jake Elliott 48 yard field goal,22,14
,5:33,Eagles,Jake Elliott 51 yard field goal,25,14
,3:37,Patriots,Kendrick Bourne 11 yard pass from Mac Jones (pass failed),25,20
