Unnamed: 0,PHI,NWE
First Downs,17,24
Rush-Yds-TDs,25-97-0,22-76-0
Cmp-Att-Yd-TD-INT,22-33-170-1-0,35-54-316-3-1
Sacked-Yards,3-16,2-10
Net Pass Yards,154,306
Total Yards,251,382
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,5-49,7-50
Third Down Conv.,4-13,5-15
Fourth Down Conv.,0-1,1-4
Time of Possession,30:48,29:12
