Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Chad Ryland kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Jalen Hurts pass complete short left to Kenneth Gainwell for 6 yards (tackle by Jabrill Peppers and Jahlani Tavai),0.610,0.870
1,14:22,2,4,PHI 31,0,0,", recovered by Jalen Hurts at PHI-20 Jalen Hurts for no gain. Penalty on Deatrich Wise: Defensive Offside, 5 yards (accepted) (no play)",0.870,1.330
1,13:57,1,10,PHI 36,0,0,Kenneth Gainwell left guard for 16 yards (tackle by Marte Mapu),1.330,2.390
1,13:18,1,10,NWE 48,0,0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 8 yards (tackle by Ja'Whaun Bentley and Marte Mapu),2.390,2.930
1,12:31,2,2,NWE 40,0,0,Kenneth Gainwell right tackle for 1 yard (tackle by Ja'Whaun Bentley),2.930,2.340
1,12:04,3,1,NWE 39,0,0,Kenneth Gainwell up the middle for 5 yards (tackle by Deatrich Wise),2.340,3.310
1,11:35,1,10,NWE 34,0,0,Jalen Hurts pass complete short left to Quez Watkins for 8 yards (tackle by Myles Bryant),3.310,3.850
1,11:25,2,2,NWE 26,0,0,Kenneth Gainwell left guard for 4 yards (tackle by Daniel Ekuale),3.850,4.110
1,10:51,1,10,NWE 22,0,0,Jalen Hurts left end for -1 yards (tackle by Ja'Whaun Bentley),4.110,3.430
1,10:11,2,11,NWE 23,0,0,Jalen Hurts pass incomplete deep left,3.430,2.740
1,10:03,3,11,NWE 23,0,0,Jalen Hurts left guard for 14 yards (tackle by Jalen Mills),2.740,5.140
1,9:41,,,,,,Timeout #1 by New England Patriots,,
1,9:41,1,9,NWE 9,0,0,Kenneth Gainwell right guard for 1 yard (tackle by Ja'Whaun Bentley),5.140,4.570
1,9:14,2,8,NWE 8,0,0,Kenneth Gainwell right guard for 2 yards (tackle by Lawrence Guy and Jahlani Tavai),4.570,4.040
1,8:29,3,6,NWE 6,0,0,Jalen Hurts sacked by Matt Judon for -8 yards,4.040,2.510
1,7:46,4,14,NWE 14,3,0,Jake Elliott 32 yard field goal good,2.510,3.000
1,7:42,,,PHI 35,3,0,"Jake Elliott kicks off 60 yards, returned by Ty Montgomery for 19 yards (tackle by Nolan Smith)",0.000,0.540
1,7:36,1,10,NWE 24,3,0,Rhamondre Stevenson left guard for 2 yards (tackle by Milton Williams and Haason Reddick),0.540,0.270
1,7:03,2,8,NWE 26,3,0,Mac Jones pass complete short middle to Hunter Henry for 9 yards (tackle by Justin Evans and Avonte Maddox),0.270,1.270
1,6:38,1,10,NWE 35,3,0,Ty Montgomery right tackle for 7 yards (tackle by Reed Blankenship and Darius Slay),1.270,1.740
1,6:10,2,2,NWE 42,3,0,Ezekiel Elliott right end for 11 yards (tackle by Reed Blankenship),1.740,2.460
1,5:41,1,10,PHI 47,3,0,Mac Jones pass complete short left to Demario Douglas for 5 yards (tackle by Avonte Maddox),2.460,2.590
1,5:16,2,5,PHI 42,3,0,Mac Jones pass incomplete short middle intended for Demario Douglas,2.590,1.880
1,5:12,3,5,PHI 42,9,0,"Mac Jones pass short right intended for Kendrick Bourne is intercepted by Darius Slay at PHI-30 and returned for 70 yards, touchdown",1.880,-7.000
1,4:56,,,NWE 15,10,0,Jake Elliott kicks extra point good,0.000,0.000
1,4:56,,,PHI 35,10,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,4:56,1,10,NWE 25,10,0,"Mac Jones pass complete short left to Ezekiel Elliott for no gain. Ezekiel Elliott fumbles (forced by Jordan Davis), recovered by Zach Cunningham at NE-26 (tackle by Jordan Davis)",0.610,-3.840
1,4:48,1,10,NWE 26,10,0,Kenneth Gainwell up the middle for 5 yards (tackle by Deatrich Wise and Marcus Jones),3.840,3.970
1,4:09,2,5,NWE 21,10,0,Jalen Hurts pass complete short left to A.J. Brown for 9 yards,3.970,4.780
1,3:45,1,10,NWE 12,10,0,Kenneth Gainwell up the middle for 2 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),4.780,4.450
1,3:06,2,8,NWE 10,10,0,"Jalen Hurts sacked by. Penalty on Kyle Dugger: Defensive Holding, 5 yards (accepted) (no play)",4.450,6.060
1,2:47,1,5,NWE 5,16,0,"Jalen Hurts pass complete short right to DeVonta Smith for 5 yards, touchdown",6.060,7.000
1,2:39,,,NWE 15,16,0,Jake Elliott kicks extra point no good,0.000,-1.000
1,2:39,,,PHI 35,16,0,"Jake Elliott kicks off 64 yards, returned by Ty Montgomery for 43 yards (tackle by Kelee Ringo)",0.000,1.860
1,2:32,1,10,NWE 44,16,0,Rhamondre Stevenson left tackle for 1 yard (tackle by Derek Barnett and Milton Williams),1.860,1.450
1,2:07,2,9,NWE 45,16,0,Mac Jones pass incomplete short left intended for JuJu Smith-Schuster (defended by James Bradberry),1.450,0.760
1,2:03,3,9,NWE 45,16,0,Mac Jones pass incomplete short left intended for Kendrick Bourne (defended by Reed Blankenship),0.760,-0.390
1,1:56,4,9,NWE 45,16,0,Bryce Baringer punts 39 yards out of bounds,-0.390,0.140
1,1:49,1,10,PHI 16,16,0,Jalen Hurts pass complete short right to D'Andre Swift for no gain (tackle by Jabrill Peppers),-0.140,-0.660
1,1:10,2,10,PHI 16,16,0,Jalen Hurts sacked by Josh Uche for no gain,-0.660,-1.320
1,0:26,3,10,PHI 16,16,0,Jalen Hurts pass complete short middle to A.J. Brown for 2 yards (tackle by Myles Bryant),-1.320,-2.240
Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,8,PHI 18,16,0,"Arryn Siposs punts 50 yards, returned by Marcus Jones for 21 yards (tackle by Reed Blankenship)",-2.240,-2.460
2,14:48,1,10,PHI 47,16,0,Mac Jones pass complete short left to Ezekiel Elliott for 4 yards (tackle by James Bradberry),2.460,2.450
2,14:09,2,6,PHI 43,16,0,Rhamondre Stevenson left guard for -1 yards (tackle by Jordan Davis and Nakobe Dean),2.450,1.620
2,13:33,3,7,PHI 44,16,0,Mac Jones pass incomplete short left intended for Kendrick Bourne (defended by Avonte Maddox),1.620,0.330
2,13:29,,,,,,Timeout #1 by Philadelphia Eagles,,
2,13:29,4,7,PHI 44,16,0,"Bryce Baringer punts 36 yards, fair catch by Britain Covey at PHI-8",0.330,0.380
2,13:22,1,10,PHI 8,16,0,Kenneth Gainwell up the middle for 1 yard (tackle by Adrian Phillips and Lawrence Guy),-0.380,-0.710
2,12:41,2,9,PHI 9,16,0,Jalen Hurts pass incomplete deep right,-0.710,-1.300
2,12:33,3,9,PHI 9,16,0,Jalen Hurts pass complete short right to DeVonta Smith for 2 yards (tackle by Matt Judon),-1.300,-2.490
2,11:58,4,7,PHI 11,16,0,"Arryn Siposs punts 46 yards, returned by Marcus Jones for no gain (tackle by Sydney Brown)",-2.490,-1.800
2,11:49,1,10,NWE 43,16,0,Ezekiel Elliott left end for -1 yards (tackle by Derek Barnett),1.800,1.120
2,11:19,2,11,NWE 42,16,0,Mac Jones pass complete short middle to Kendrick Bourne for 6 yards (tackle by Reed Blankenship),1.120,1.220
2,10:47,3,5,NWE 48,16,0,Mac Jones pass incomplete short right intended for JuJu Smith-Schuster,1.220,-0.190
2,10:42,4,5,NWE 48,16,0,"Bryce Baringer punts 43 yards, returned by Britain Covey for 5 yards (tackle by Mack Wilson)",-0.190,0.280
2,10:30,1,10,PHI 14,16,0,Jalen Hurts pass incomplete short right,-0.280,-0.750
2,10:23,2,10,PHI 14,16,0,Jalen Hurts right end for no gain (tackle by Matt Judon),-0.750,-1.400
2,9:35,3,10,PHI 14,16,0,"Boston Scott up the middle for 3 yards (tackle by Ja'Whaun Bentley and Christian Barmore). Penalty on Jordan Mailata: Illegal Formation, 5 yards (declined)",-1.400,-2.320
2,9:32,4,7,PHI 17,16,0,"Arryn Siposs punts 54 yards, returned by Marcus Jones for no gain. Marcus Jones fumbles (forced by Josh Jobe). Marcus Jones fumbles out of bounds",-2.320,-0.870
2,9:22,1,10,NWE 29,16,0,Rhamondre Stevenson up the middle for 3 yards (tackle by Nakobe Dean),0.870,0.730
2,8:45,2,7,NWE 32,16,0,Mac Jones pass complete short right to Kendrick Bourne for 1 yard (tackle by Nakobe Dean and Justin Evans),0.730,0.170
2,8:09,3,6,NWE 33,16,0,Mac Jones pass complete short left to Mike Gesicki for 9 yards (tackle by Nakobe Dean),0.170,1.730
