Unnamed: 0,CLE,CIN
First Downs,25,15
Rush-Yds-TDs,26-136-0,33-155-1
Cmp-Att-Yd-TD-INT,29-48-251-2-4,11-21-115-1-2
Sacked-Yards,1-7,0-0
Net Pass Yards,244,115
Total Yards,380,270
Fumbles-Lost,2-0,2-1
Turnovers,4,3
Penalties-Yards,4-33,4-34
Third Down Conv.,8-14,5-12
Fourth Down Conv.,1-4,0-0
Time of Possession,33:06,26:54
