Quarter,Time,Tm,Detail,CLE,CIN
2.0,12:52,Bengals,Shayne Graham 29 yard field goal,0,3
,5:04,Bengals,Shayne Graham 38 yard field goal,0,6
,1:05,Bengals,T.J. Houshmandzadeh 5 yard pass from Carson Palmer (Shayne Graham kick),0,13
,0:26,Bengals,Kenny Watson 1 yard rush (pass failed),0,19
3.0,0:40,Browns,Braylon Edwards 2 yard pass from Derek Anderson (Phil Dawson kick),7,19
4.0,5:57,Browns,Braylon Edwards 5 yard pass from Derek Anderson (Phil Dawson kick),14,19
