Unnamed: 0,TEN,HOU
First Downs,22,14
Rush-Yds-TDs,31-90-2,28-161-0
Cmp-Att-Yd-TD-INT,22-31-220-2-0,18-27-131-1-1
Sacked-Yards,0-0,7-35
Net Pass Yards,220,96
Total Yards,310,257
Fumbles-Lost,1-0,2-0
Turnovers,0,1
Penalties-Yards,7-65,6-39
Third Down Conv.,4-11,0-13
Fourth Down Conv.,0-1,1-2
Time of Possession,31:09,28:51
