Quarter,Time,Tm,Detail,ATL,SEA
1.0,6:08,Falcons,Tony Gonzalez 1 yard pass from Matt Ryan (Matt Bryant kick),7,0
2.0,10:13,Falcons,Michael Turner 21 yard rush (Matt Bryant kick),14,0
,8:46,Seahawks,Sidney Rice 52 yard pass from Tarvaris Jackson (Stephen Hauschka kick),14,7
,2:48,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),21,7
,0:25,Falcons,Matt Bryant 47 yard field goal,24,7
3.0,13:40,Falcons,Matt Bryant 50 yard field goal,27,7
,10:01,Seahawks,Mike Williams 6 yard pass from Tarvaris Jackson (Stephen Hauschka kick),27,14
,3:07,Seahawks,Marshawn Lynch 11 yard rush (Stephen Hauschka kick),27,21
4.0,11:38,Falcons,Matt Bryant 42 yard field goal,30,21
,8:13,Seahawks,Ben Obomanu 8 yard pass from Tarvaris Jackson (Stephen Hauschka kick),30,28
