Unnamed: 0,ATL,SEA
First Downs,25,20
Rush-Yds-TDs,36-121-2,15-53-1
Cmp-Att-Yd-TD-INT,28-42-291-1-0,25-38-319-3-2
Sacked-Yards,0-0,0-0
Net Pass Yards,291,319
Total Yards,412,372
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,4-35,6-40
Third Down Conv.,9-16,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,40:10,19:50
