Quarter,Time,Tm,Detail,NYG,TAM
1.0,7:47,Buccaneers,Mike Evans 6 yard pass from Jameis Winston (Nick Folk kick),0,7
,3:00,Buccaneers,O.J. Howard 58 yard pass from Jameis Winston (Nick Folk kick failed),0,13
2.0,7:17,Giants,Aldrick Rosas 30 yard field goal,3,13
,3:17,Giants,Eli Manning 14 yard rush (Aldrick Rosas kick),10,13
,0:32,Buccaneers,Nick Folk 20 yard field goal,10,16
3.0,4:19,Giants,Wayne Gallman 4 yard pass from Eli Manning (Aldrick Rosas kick),17,16
4.0,7:44,Buccaneers,Cameron Brate 14 yard pass from Jameis Winston (pass failed),17,22
,3:16,Giants,Rhett Ellison 2 yard pass from Eli Manning (pass failed),23,22
,0:00,Buccaneers,Nick Folk 34 yard field goal,23,25
