Unnamed: 0,NYG,TAM
First Downs,24,20
Rush-Yds-TDs,28-91-1,23-111-0
Cmp-Att-Yd-TD-INT,30-49-288-2-0,22-38-332-3-0
Sacked-Yards,0-0,1-9
Net Pass Yards,288,323
Total Yards,379,434
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,1-0,4-19
Third Down Conv.,8-17,3-11
Fourth Down Conv.,0-1,0-1
Time of Possession,34:13,25:47
