Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NYG 25,0,0,Paul Perkins middle for -1 yards (tackle by Gerald McCoy and Robert Ayers),0.610,-0.070
1,14:23,2,11,NYG 24,0,0,Paul Perkins left end for -7 yards (tackle by Gerald McCoy and Adarius Glanton),-0.070,-1.930
1,13:49,3,18,NYG 17,0,0,Eli Manning pass complete short left to Paul Perkins for 6 yards,-1.930,-1.830
1,13:13,4,12,NYG 23,0,0,Brad Wing punts 40 yards,-1.830,-1.400
1,13:04,1,10,TAM 37,0,0,Jacquizz Rodgers left guard for 5 yards (tackle by B.J. Goodson),1.400,1.530
1,12:32,2,5,TAM 42,0,0,Jacquizz Rodgers left tackle for 2 yards (tackle by Jonathan Casillas),1.530,1.090
1,11:49,3,3,TAM 44,0,0,Jacquizz Rodgers left end for no gain (tackle by Janoris Jenkins),1.090,-0.460
1,11:16,4,3,TAM 44,0,0,Bryan Anger punts 53 yards,-0.460,0.380
1,11:04,1,10,NYG 3,0,0,Paul Perkins middle for 3 yards (tackle by Adarius Glanton),-0.380,-0.560
1,10:30,2,7,NYG 6,0,0,"Paul Perkins right guard for 3 yards (tackle by Adarius Glanton and Clinton McDonald). Penalty on William Gholston: Defensive Offside, 5 yards (no play)",-0.560,-0.200
1,10:09,2,2,NYG 11,0,0,Eli Manning pass incomplete deep right intended for Odell Beckham (defended by Brent Grimes),-0.200,-0.480
1,10:02,3,2,NYG 11,0,0,Eli Manning pass incomplete short right intended for Evan Engram (defended by Adarius Glanton),-0.480,-2.490
1,9:58,4,2,NYG 11,0,0,"Brad Wing punts 46 yards, returned by Bernard Reedy for 1 yard (tackle by Roger Lewis)",-2.490,-1.860
1,9:48,1,10,TAM 44,0,0,Jacquizz Rodgers right guard for 2 yards (tackle by Dalvin Tomlinson and Devon Kennard),1.860,1.590
1,9:15,2,8,TAM 46,0,0,Jameis Winston pass complete short middle to Mike Evans for 12 yards (tackle by Eli Apple),1.590,2.790
1,8:37,1,10,NYG 42,0,0,Jacquizz Rodgers right tackle for 36 yards (tackle by B.J. Goodson),2.790,5.830
1,7:52,1,6,NYG 6,0,6,"Jameis Winston pass complete short right to Mike Evans for 6 yards, touchdown",5.830,7.000
1,7:47,,,NYG 15,0,7,Nick Folk kicks extra point good,0.000,0.000
1,7:47,,,TAM 35,0,7,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
1,7:47,1,10,NYG 25,0,7,Paul Perkins middle for 14 yards,0.610,1.530
1,7:24,1,10,NYG 39,0,7,Paul Perkins left tackle for 2 yards (tackle by Keith Tandy),1.530,1.260
1,6:49,2,8,NYG 41,0,7,Eli Manning pass incomplete deep left intended for Brandon Marshall,1.260,0.560
1,6:42,3,8,NYG 41,0,7,Eli Manning pass complete short middle to Evan Engram for 11 yards (tackle by Kendell Beckwith),0.560,2.390
1,6:20,1,10,TAM 48,0,7,Eli Manning pass incomplete short middle intended for Paul Perkins,2.390,1.850
1,6:17,2,10,TAM 48,0,7,Eli Manning pass complete short right to Odell Beckham for 8 yards (tackle by Chris Conte),1.850,2.210
1,5:38,3,2,TAM 40,0,7,"Eli Manning pass incomplete short middle intended for Odell Beckham. Penalty on Kendell Beckwith: Defensive Pass Interference, 4 yards (no play)",2.210,3.180
1,5:33,1,10,TAM 36,0,7,Shane Vereen left tackle for 4 yards,3.180,3.180
1,4:59,2,6,TAM 32,0,7,Shane Vereen middle for -3 yards (tackle by Gerald McCoy),3.180,2.080
1,4:24,3,9,TAM 35,0,7,Eli Manning pass complete short left to Sterling Shepard for 5 yards (tackle by Kendell Beckwith),2.080,1.460
1,3:51,4,4,TAM 30,0,7,Eli Manning pass incomplete short right intended for Brandon Marshall (defended by Robert McClain),1.460,-0.940
1,3:45,1,10,TAM 30,0,7,Jameis Winston pass complete short left to Jacquizz Rodgers for 12 yards (tackle by B.J. Goodson),0.940,1.730
1,3:12,1,10,TAM 42,0,13,"Jameis Winston pass complete deep left to O.J. Howard for 58 yards, touchdown",1.730,7.000
1,3:00,,,NYG 15,0,13,Nick Folk kicks extra point no good,0.000,-1.000
1,3:00,,,TAM 35,0,13,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
1,3:00,1,10,NYG 25,0,13,Eli Manning pass complete deep right to Evan Engram for 21 yards (tackle by Chris Conte),0.610,1.990
1,2:29,1,10,NYG 46,0,13,Wayne Gallman middle for 2 yards (tackle by Will Clarke),1.990,1.720
1,1:52,2,8,NYG 48,0,13,Eli Manning pass complete short middle to Evan Engram for 4 yards (tackle by Keith Tandy),1.720,1.550
1,1:12,3,4,TAM 48,0,13,Eli Manning pass incomplete short right intended for Brandon Marshall (defended by Brent Grimes),1.550,0.070
1,1:06,4,4,TAM 48,0,13,"Brad Wing punts 48 yards, touchback",0.070,-0.280
1,0:57,1,10,TAM 20,0,13,Jacquizz Rodgers middle for no gain (tackle by B.J. Goodson and Dalvin Tomlinson),0.280,-0.270
1,0:17,2,10,TAM 20,0,13,Jameis Winston pass incomplete short middle intended for O.J. Howard (defended by Landon Collins),-0.270,-0.960
1,0:11,3,10,TAM 20,0,13,Jameis Winston pass complete short left to Charles Sims for 7 yards (tackle by Jonathan Casillas),-0.960,-1.570
Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,3,TAM 27,0,13,Bryan Anger punts 62 yards,-1.570,0.370
2,14:49,1,10,NYG 11,0,13,Eli Manning pass complete short middle to Sterling Shepard for 11 yards (tackle by Robert McClain),-0.370,0.410
2,14:20,1,10,NYG 22,0,13,Paul Perkins middle for no gain (tackle by Kendell Beckwith),0.410,-0.130
2,13:53,2,10,NYG 22,0,13,Eli Manning pass incomplete short right intended for Evan Engram,-0.130,-0.820
2,13:47,3,10,NYG 22,0,13,Eli Manning pass incomplete deep left intended for Odell Beckham,-0.820,-1.900
2,13:42,4,10,NYG 22,0,13,"Brad Wing punts 56 yards, returned by Bernard Reedy for 15 yards (tackle by Rhett Ellison)",-1.900,-1.400
2,13:28,1,10,TAM 37,0,13,Jameis Winston pass complete short middle to Cameron Brate for 35 yards (tackle by Landon Collins and B.J. Goodson),1.400,3.710
2,12:47,1,10,NYG 28,0,13,Peyton Barber left tackle for no gain (tackle by B.J. Goodson and Olivier Vernon),3.710,3.170
2,12:09,2,10,NYG 28,0,13,Jameis Winston pass incomplete short left intended for Mike Evans (defended by Janoris Jenkins),3.170,2.480
2,12:04,3,10,NYG 28,0,13,Jameis Winston pass incomplete deep right intended for DeSean Jackson (defended by Eli Apple),2.480,1.590
2,11:58,4,10,NYG 28,0,13,Nick Folk 46 yard field goal no good,1.590,-1.330
2,11:53,1,10,NYG 36,0,13,Eli Manning pass complete short left to Brandon Marshall for 10 yards. Penalty on Chris Conte: Defensive Holding (Declined),1.330,1.990
