Unnamed: 0,MIN,PHI
First Downs,21,23
Rush-Yds-TDs,21-97-1,25-109-0
Cmp-Att-Yd-TD-INT,24-47-316-1-2,21-33-286-2-0
Sacked-Yards,3-28,1-0
Net Pass Yards,288,286
Total Yards,385,395
Fumbles-Lost,1-0,3-1
Turnovers,2,1
Penalties-Yards,7-108,4-20
Third Down Conv.,7-17,5-11
Fourth Down Conv.,3-5,0-0
Time of Possession,32:25,27:35
