Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 64 yards, returned by Onterrio Smith for 16 yards (tackle by J.R. Reed). Penalty on Spencer Johnson: Offensive Holding, 10 yards",0.000,-0.350
1,14:52,1,10,MIN 12,0,0,Daunte Culpepper pass complete to Michael Bennett for no gain,-0.350,-0.780
1,14:16,2,10,MIN 12,0,0,Michael Bennett left tackle for 4 yards (tackle by Michael Lewis),-0.780,-0.950
1,13:30,3,6,MIN 16,0,0,Daunte Culpepper left end for 4 yards (tackle by Michael Lewis),-0.950,-2.030
1,13:05,4,2,MIN 20,0,0,"Darren Bennett punts 48 yards, returned by Dexter Wynn for no gain",-2.030,-1.070
1,12:56,1,10,PHI 32,0,0,Donovan McNabb pass incomplete intended for Greg Lewis (defended by Antoine Winfield),1.070,0.530
1,12:50,2,10,PHI 32,0,0,Donovan McNabb pass complete to Brian Westbrook for 5 yards (tackle by Willie Offord),0.530,0.500
1,12:09,3,5,PHI 37,0,0,Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Chris Claiborne),0.500,-0.910
1,12:04,4,5,PHI 37,0,0,"Dirk Johnson punts 40 yards, returned by Nate Burleson for 9 yards (tackle by J.R. Reed)",-0.910,-1.070
1,11:54,1,10,MIN 32,0,0,Daunte Culpepper pass incomplete intended for Nate Burleson,1.070,0.530
1,11:51,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,0.530
1,11:51,2,10,MIN 32,0,0,Michael Bennett up the middle for -3 yards (tackle by Corey Simon),0.530,-0.560
1,11:07,3,13,MIN 29,0,0,Daunte Culpepper pass incomplete intended for Randy Moss,-0.560,-1.440
1,11:01,4,13,MIN 29,0,0,Darren Bennett punts 24 yards,-1.440,-2.060
1,10:52,1,10,PHI 47,0,0,Brian Westbrook right tackle for 14 yards (tackle by Willie Offord and Brian Russell),2.060,2.980
1,10:15,1,10,MIN 39,0,0,"Donovan McNabb pass complete to Brian Westbrook for no gain. Penalty on Jermane Mayberry: Ineligible Downfield Pass, 5 yards (no play)",2.980,2.650
1,9:53,1,15,MIN 44,0,0,Donovan McNabb pass complete to Brian Westbrook for 10 yards (tackle by E.J. Henderson),2.650,3.120
1,9:04,2,5,MIN 34,0,0,"Penalty on Donovan McNabb: Delay of Game, 5 yards (no play)",3.120,2.440
1,8:37,2,10,MIN 39,0,0,Dorsey Levens up the middle for 3 yards (tackle by Chris Claiborne),2.440,2.150
1,7:58,3,7,MIN 36,0,0,"Donovan McNabb pass incomplete intended for Brian Westbrook. Penalty on Dontarrious Thomas: Defensive Holding, 5 yards (no play)",2.150,3.510
1,7:53,1,10,MIN 31,0,0,Donovan McNabb pass complete to Brian Westbrook for 24 yards (tackle by Antoine Winfield),3.510,5.600
1,7:07,1,7,MIN 7,0,0,Dorsey Levens up the middle for 5 yards (tackle by Kenny Mixon),5.600,5.720
1,6:28,2,2,MIN 2,0,0,Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Willie Offord),5.720,4.950
1,6:22,3,2,MIN 2,0,6,"Donovan McNabb pass complete to Freddie Mitchell for 2 yards, touchdown",4.950,7.000
1,,,,MIN 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 65 yards, returned by Onterrio Smith for 24 yards (tackle by J.R. Reed)",0.000,0.870
1,6:12,1,10,MIN 29,0,7,Michael Bennett right end for 3 yards (tackle by Hollis Thomas),0.870,0.730
1,5:34,2,7,MIN 32,0,7,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Lito Sheppard),0.730,0.040
1,5:29,3,7,MIN 32,0,7,Daunte Culpepper pass complete to Mewelde Moore for 8 yards (tackle by Michael Lewis),0.040,1.600
1,4:48,1,10,MIN 40,0,7,Michael Bennett up the middle for 18 yards (tackle by Brian Dawkins),1.600,2.790
1,4:12,1,10,PHI 42,0,7,Onterrio Smith right tackle for 6 yards (tackle by Nate Wayne),2.790,3.050
1,3:35,2,4,PHI 36,0,7,Daunte Culpepper pass incomplete intended for Onterrio Smith (defended by Dhani Jones),3.050,2.340
1,3:26,3,4,PHI 36,0,7,Daunte Culpepper pass incomplete intended for Marcus Robinson (defended by Jevon Kearse),2.340,0.890
1,3:23,4,4,PHI 36,0,7,Darren Bennett punts 28 yards,0.890,0.380
1,3:13,1,10,PHI 8,0,7,Dorsey Levens up the middle for 5 yards (tackle by E.J. Henderson),-0.380,-0.410
1,2:41,2,5,PHI 13,0,7,Donovan McNabb pass complete to Freddie Mitchell for 9 yards (tackle by Chris Claiborne),-0.410,0.410
1,2:06,1,10,PHI 22,0,7,Donovan McNabb pass complete to Brian Westbrook for 1 yard (tackle by Kenny Mixon),0.410,0.000
1,1:25,2,9,PHI 23,0,7,Brian Westbrook left end for 4 yards (tackle by Chris Claiborne),0.000,-0.160
1,0:42,3,5,PHI 27,0,7,Donovan McNabb pass complete to Greg Lewis for 52 yards (tackle by Brian Williams),-0.160,4.170
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 21,0,7,Donovan McNabb pass complete to Todd Pinkston for 14 yards (tackle by Antoine Winfield),4.170,5.600
2,14:21,1,7,MIN 7,0,13,"Donovan McNabb pass complete to Brian Westbrook for 7 yards, touchdown",5.600,7.000
2,,,,MIN 2,0,14,David Akers kicks extra point good,0.000,0.000
