Quarter,Time,Tm,Detail,NOR,GNB
1.0,8:51,Saints,John Carney 33 yard field goal,3,0
,2:24,Packers,Najeh Davenport 1 yard rush (Ryan Longwell kick),3,7
,0:57,Packers,Al Harris 22 yard interception return (Ryan Longwell kick),3,14
2.0,8:50,Packers,Najeh Davenport 4 yard rush (Ryan Longwell kick),3,21
,6:42,Packers,Robert Ferguson 25 yard pass from Brett Favre (Ryan Longwell kick),3,28
,0:24,Packers,David Martin 1 yard pass from Brett Favre (Ryan Longwell kick),3,35
3.0,11:24,Packers,Donald Lee 26 yard pass from Brett Favre (Ryan Longwell kick),3,42
,3:37,Packers,Ryan Longwell 26 yard field goal,3,45
4.0,8:19,Packers,Nick Barnett 95 yard interception return (Ryan Longwell kick),3,52
