Unnamed: 0,SDG,CIN
First Downs,25,29
Rush-Yds-TDs,26-107-4,27-128-2
Cmp-Att-Yd-TD-INT,24-36-338-3-0,31-42-440-3-0
Sacked-Yards,3-14,3-23
Net Pass Yards,324,417
Total Yards,431,545
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,4-45,5-44
Third Down Conv.,9-14,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,28:42,31:18
