Quarter,Time,Tm,Detail,SDG,CIN
1.0,9:57,Bengals,Jeremi Johnson 3 yard rush (Shayne Graham kick),0,7
,1:36,Bengals,Rudi Johnson 7 yard rush (Shayne Graham kick),0,14
,0:09,Bengals,Chad Johnson 51 yard pass from Carson Palmer (Shayne Graham kick),0,21
2.0,5:27,Chargers,LaDainian Tomlinson 9 yard rush (Nate Kaeding kick),7,21
,0:16,Bengals,Chris Henry 7 yard pass from Carson Palmer (Shayne Graham kick),7,28
3.0,10:47,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),14,28
,9:08,Chargers,Malcom Floyd 46 yard pass from Philip Rivers (Nate Kaeding kick),21,28
,6:27,Bengals,Shayne Graham 21 yard field goal,21,31
,3:08,Chargers,Brandon Manumaleuna 9 yard pass from Philip Rivers (Nate Kaeding kick),28,31
,2:50,Bengals,Chad Johnson 74 yard pass from Carson Palmer (Shayne Graham kick),28,38
4.0,14:55,Chargers,LaDainian Tomlinson 2 yard rush (Nate Kaeding kick),35,38
,14:40,Chargers,LaDainian Tomlinson 9 yard rush (Nate Kaeding kick),42,38
,7:48,Bengals,Shayne Graham 44 yard field goal,42,41
,2:29,Chargers,Brandon Manumaleuna 5 yard pass from Philip Rivers (Nate Kaeding kick),49,41
