Quarter,Time,Down,ToGo,Location,SDG,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 71 yards, returned by Michael Turner for 26 yards (tackle by Tony Stewart)",0.000,0.610
1,14:55,1,10,SDG 25,0,0,"LaDainian Tomlinson left guard for 1 yard (tackle by Rashad Jeanty). Penalty on Shane Olivea: Unnecessary Roughness, 13 yards",0.610,-1.640
1,14:24,2,22,SDG 13,0,0,LaDainian Tomlinson for 3 yards (tackle by Ahmad Brooks),-1.640,-2.140
1,13:50,3,19,SDG 16,0,0,Philip Rivers pass complete short middle to Vincent Jackson for 18 yards (tackle by Deltha O'Neal),-2.140,-1.110
1,13:16,4,1,SDG 34,0,0,Mike Scifres punts 28 yards,-1.110,-1.470
1,13:07,1,10,CIN 38,0,0,Chris Perry middle for 3 yards (tackle by Donnie Edwards),1.470,1.330
1,12:30,2,7,CIN 41,0,0,Carson Palmer pass complete deep left to T.J. Houshmandzadeh for 19 yards (tackle by Terrence Kiel),1.330,2.920
1,11:56,1,10,SDG 40,0,0,Chris Perry middle for 3 yards (tackle by Carlos Polk),2.920,2.780
1,11:18,2,7,SDG 37,0,0,Chris Perry left end for 7 yards (tackle by Drayton Florence),2.780,3.580
1,10:41,1,10,SDG 30,0,0,Carson Palmer pass complete short middle to Reggie Kelly for 27 yards (tackle by Terrence Kiel),3.580,6.510
1,10:01,1,3,SDG 3,0,6,"Jeremi Johnson middle for 3 yards, touchdown",6.510,7.000
1,,,,SDG 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Shayne Graham kicks off 61 yards, returned by Michael Turner for 20 yards (tackle by Tony Stewart)",0.000,0.870
1,9:50,1,10,SDG 29,0,7,Philip Rivers pass incomplete short right intended for Lorenzo Neal,0.870,0.330
1,9:45,2,10,SDG 29,0,7,Philip Rivers pass complete short left to Lorenzo Neal for 13 yards (tackle by Landon Johnson),0.330,1.730
1,8:59,1,10,SDG 42,0,7,LaDainian Tomlinson right tackle for 1 yard (tackle by Dexter Jackson and Rashad Jeanty),1.730,1.320
1,8:17,2,9,SDG 43,0,7,"Philip Rivers pass complete short left to Lorenzo Neal for -2 yards (tackle by Landon Johnson and Tory James). Lorenzo Neal fumbles (forced by Landon Johnson), ball out of bounds at SDG-41",1.320,0.370
1,7:46,,,,0,7,Timeout #1 by San Diego Chargers,0.000,0.370
1,7:46,3,11,SDG 41,0,7,Philip Rivers pass complete short middle to Antonio Gates for 16 yards (tackle by Madieu Williams),0.370,2.720
1,7:02,1,10,CIN 43,0,7,Philip Rivers pass incomplete short right intended for Malcom Floyd (defended by Deltha O'Neal),2.720,2.180
1,6:55,2,10,CIN 43,0,7,LaDainian Tomlinson right tackle for 6 yards (tackle by Ahmad Brooks),2.180,2.280
1,6:16,3,4,CIN 37,0,7,Philip Rivers pass incomplete short right intended for Keenan McCardell (defended by Bryan Robinson),2.280,0.790
1,6:10,4,4,CIN 37,0,7,"Mike Scifres punts 26 yards, fair catch by Deltha O'Neal",0.790,0.370
1,6:03,1,10,CIN 11,0,7,Rudi Johnson left tackle for 7 yards (tackle by Shaun Phillips and Marlon McCree),-0.370,0.000
1,5:31,2,3,CIN 18,0,7,Carson Palmer pass complete short left to Chad Johnson for 5 yards (tackle by Drayton Florence),0.000,0.480
1,5:12,1,10,CIN 23,0,7,Rudi Johnson left guard for 2 yards (tackle by Donnie Edwards),0.480,0.200
1,4:40,2,8,CIN 25,0,7,Carson Palmer pass complete short right to Chad Johnson for 17 yards (tackle by Quentin Jammer),0.200,1.730
1,4:13,1,10,CIN 42,0,7,Carson Palmer pass complete deep right to Tony Stewart for 26 yards,1.730,3.450
1,3:48,1,10,SDG 32,0,7,Rudi Johnson right end for 4 yards (tackle by Randall Godfrey and Quentin Jammer),3.450,3.440
1,3:11,2,6,SDG 28,0,7,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 5 yards (tackle by Marques Harris),3.440,3.400
1,2:54,3,1,SDG 23,0,7,Carson Palmer right guard for 3 yards (tackle by Donnie Edwards),3.400,4.240
1,2:20,1,10,SDG 20,0,7,Carson Palmer pass complete short right to T.J. Houshmandzadeh for 13 yards (tackle by Quentin Jammer),4.240,5.600
1,1:43,1,7,SDG 7,0,13,"Rudi Johnson left end for 7 yards, touchdown",5.600,7.000
1,,,,SDG 2,0,14,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,14,"Shayne Graham kicks off 72 yards, returned by Michael Turner for 28 yards (tackle by Andre Frazier). Penalty on Cory Withrow: Offensive Holding, 9 yards",0.000,-0.380
1,1:29,1,10,SDG 9,0,14,LaDainian Tomlinson right guard for -1 yards (tackle by Dexter Jackson and Rashad Jeanty),-0.380,-0.850
1,0:49,2,11,SDG 8,0,14,Philip Rivers pass incomplete short right intended for Lorenzo Neal,-0.850,-1.540
1,0:44,3,11,SDG 8,0,14,Philip Rivers pass incomplete deep left intended for Keenan McCardell (defended by Tory James),-1.540,-2.490
,,,,,,,"CIN challenged the ruling, and the original play was overturned.",,
1,0:29,4,11,SDG 8,0,14,"Mike Scifres punts 53 yards, returned by Deltha O'Neal for 10 yards (tackle by David Binn)",-2.490,-2.190
1,0:17,1,10,CIN 49,0,20,"Carson Palmer pass complete deep right to Chad Johnson for 51 yards, touchdown",2.190,7.000
1,,,,SDG 2,0,21,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,21,"Shayne Graham kicks off 67 yards, returned by Michael Turner for 49 yards (tackle by Madieu Williams)",0.000,2.390
Quarter,Time,Down,ToGo,Location,SDG,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 48,0,21,Philip Rivers pass complete short left to LaDainian Tomlinson for 6 yards (tackle by Tory James),2.390,2.660
2,14:19,2,4,CIN 42,0,21,Philip Rivers sacked by Sam Adams for -4 yards,2.660,1.420
2,13:43,3,8,CIN 46,0,21,Philip Rivers sacked by Robert Geathers for -4 yards,1.420,-0.060
2,13:17,4,12,,0,21,"Mike Scifres punts 38 yards, fair catch by Deltha O'Neal",-0.060,0.350
2,13:10,1,10,CIN 12,0,21,Rudi Johnson left guard for 13 yards (tackle by Marlon McCree and Terrence Kiel),-0.350,0.610
2,12:34,1,10,CIN 25,0,21,"Carson Palmer pass complete short right to Chris Perry for 3 yards (tackle by Terrence Kiel). Penalty on Bobbie Williams: Ineligible Downfield Pas, 5 yards (no play)",0.610,0.280
2,12:04,1,15,CIN 20,0,21,Rudi Johnson left tackle for 9 yards (tackle by Marlon McCree and Stephen Cooper),0.280,0.600
2,11:31,2,6,CIN 29,0,21,Carson Palmer pass complete short left to Chad Johnson for 13 yards (tackle by Donnie Edwards),0.600,1.730
2,10:56,1,10,CIN 42,0,21,Rudi Johnson left tackle for no gain (tackle by Carlos Polk and Terrence Kiel),1.730,1.190
2,10:20,2,10,CIN 42,0,21,Carson Palmer pass incomplete deep left intended for Chad Johnson,1.190,0.500
2,10:13,3,10,CIN 42,0,21,Carson Palmer pass complete deep middle to T.J. Houshmandzadeh for 22 yards (tackle by Clinton Hart),0.500,3.180
2,9:33,1,10,SDG 36,0,21,Jeremi Johnson right guard for 6 yards (tackle by Terrence Kiel and Donnie Edwards),3.180,3.450
2,8:57,2,4,SDG 30,0,21,Rudi Johnson left tackle for -3 yards (tackle by Shaun Phillips),3.450,2.350
2,8:13,3,7,SDG 33,0,21,Carson Palmer pass incomplete short middle intended for Chris Perry,2.350,1.150
2,8:08,4,7,SDG 33,0,21,Shayne Graham 51 yard field goal no good,1.150,-1.660
2,8:03,1,10,SDG 41,0,21,Philip Rivers pass complete short left to Eric Parker for 14 yards (tackle by Madieu Williams),1.660,2.590
2,7:38,1,10,CIN 45,0,21,Philip Rivers pass complete deep middle to Keenan McCardell for 24 yards (tackle by Ahmad Brooks),2.590,4.170
2,7:06,1,10,CIN 21,0,21,LaDainian Tomlinson right tackle for 2 yards (tackle by Sam Adams),4.170,3.900
2,6:22,2,8,CIN 19,0,21,Philip Rivers pass complete short middle to LaDainian Tomlinson for 10 yards (tackle by Deltha O'Neal),3.900,5.140
