Quarter,Time,Tm,Detail,ATL,STL
1.0,1:17,Rams,Jeff Wilkins 28 yard field goal,0,3
2.0,1:22,Rams,Marc Bulger 3 yard rush (Jeff Wilkins kick),0,10
3.0,12:16,Rams,Torry Holt 21 yard pass from Marc Bulger (Jeff Wilkins kick),0,17
,2:15,Rams,"Safety,",0,19
4.0,10:44,Rams,Torry Holt 14 yard pass from Marc Bulger (Jeff Wilkins kick),0,26
,3:45,Rams,Jeff Wilkins 38 yard field goal,0,29
,1:33,Rams,Travis Fisher 74 yard interception return (Jeff Wilkins kick),0,36
