Unnamed: 0,ATL,STL
First Downs,9,26
Rush-Yds-TDs,21-73-0,31-119-1
Cmp-Att-Yd-TD-INT,12-28-155-0-2,24-35-377-2-2
Sacked-Yards,3-19,0-0
Net Pass Yards,136,377
Total Yards,209,496
Fumbles-Lost,2-2,2-1
Turnovers,4,3
Penalties-Yards,3-30,6-45
Third Down Conv.,4-13,6-11
Fourth Down Conv.,0-0,0-1
Time of Possession,22:40,37:20
