Unnamed: 0,MIN,GNB
First Downs,20,24
Rush-Yds-TDs,34-173-3,24-109-0
Cmp-Att-Yd-TD-INT,11-14-160-1-0,27-41-291-3-0
Sacked-Yards,1-9,1-0
Net Pass Yards,151,291
Total Yards,324,400
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,7-36,9-85
Third Down Conv.,4-8,5-11
Fourth Down Conv.,1-1,3-5
Time of Possession,27:48,32:12
