Quarter,Time,Tm,Detail,MIN,GNB
1.0,7:01,Packers,Davante Adams 5 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,0:47,Vikings,Dalvin Cook 21 yard rush (Dan Bailey kick),7,7
2.0,6:53,Packers,Davante Adams 1 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
,0:31,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),14,14
3.0,10:00,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),21,14
,5:52,Vikings,Dalvin Cook 50 yard pass from Kirk Cousins (Dan Bailey kick),28,14
4.0,2:42,Packers,Davante Adams 7 yard pass from Aaron Rodgers (Jamaal Williams run),28,22
