Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Justin Jefferson,MIN,4,3,26,0,,12,4.0,14,4.7,4.3,0,,0,0.0,0,91.7
Adam Thielen,MIN,4,3,27,0,1,12,4.0,15,5.0,2.0,1,3.0,1,25.0,0,92.7
Dalvin Cook,MIN,3,2,63,1,2,-8,-4.0,71,35.5,-4.3,2,1.0,0,0.0,0,149.3
Chad Beebe,MIN,1,1,16,0,1,5,5.0,11,11.0,5.0,0,,0,0.0,0,118.7
Kyle Rudolph,MIN,1,1,12,0,1,1,1.0,11,11.0,1.0,0,,0,0.0,0,116.7
Irv Smith Jr.,MIN,1,1,16,0,1,7,7.0,9,9.0,7.0,1,1.0,0,0.0,0,118.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Davante Adams,GNB,11,7,53,3,6,39,5.6,14,2.0,11.5,0,,0,0.0,0,114.8
Jamaal Williams,GNB,6,6,27,0,1,4,0.7,23,3.8,0.7,0,,0,0.0,0,85.4
Robert Tonyan,GNB,7,5,79,0,3,51,10.2,28,5.6,9.4,0,,0,0.0,0,108.6
Jace Sternberger,GNB,4,3,46,0,2,23,7.7,23,7.7,11.3,0,,0,0.0,0,112.5
AJ Dillon,GNB,1,1,16,0,1,1,1.0,15,15.0,1.0,1,1.0,0,0.0,0,118.7
Tyler Ervin,GNB,3,1,7,0,1,-4,-4.0,11,11.0,-4.0,0,,1,33.3,0,42.4
Darrius Shepherd,GNB,1,1,6,0,,4,4.0,2,2.0,4.0,0,,0,0.0,0,91.7
Equanimeous St. Brown,GNB,3,1,12,0,1,11,11.0,1,1.0,20.7,0,,1,33.3,0,46.5
Malik Taylor,GNB,1,1,26,0,1,19,19.0,7,7.0,19.0,0,,0,0.0,0,118.7
Marquez Valdes-Scantling,GNB,1,1,19,0,1,18,18.0,1,1.0,18.0,0,,0,0.0,0,118.7
