Unnamed: 0,IND,HOU
First Downs,33,20
Rush-Yds-TDs,38-177-1,28-77-0
Cmp-Att-Yd-TD-INT,32-50-352-1-1,23-37-240-2-0
Sacked-Yards,2-12,3-18
Net Pass Yards,340,222
Total Yards,517,299
Fumbles-Lost,5-1,1-1
Turnovers,2,1
Penalties-Yards,7-89,6-40
Third Down Conv.,6-15,5-15
Fourth Down Conv.,0-1,0-0
Time of Possession,39:37,30:23
